state,ell,not ell,postal,ap_abbr
Nation,216.512231289,242.566839516,US,U.S.
Alabama,196.7519212,233.420100803,AL,Ala.
Alaska,198.409912819,235.712535042,AK,Alaska
Arizona,203.964430414,237.957583189,AZ,Ariz.
Arkansas,221.352094721,235.252463306,AR,Ark.
California,211.095524462,239.676219974,CA,Calif.
Colorado,212.022711236,245.521600445,CO,Colo.
Connecticut,208.42509963,241.891743152,CT,Conn.
Delaware,216.091256165,238.197827373,DE,Del.
Florida,223.43034787,248.405566357,FL,Fla.
Georgia,207.566719285,237.775946382,GA,Ga.
Hawaii,204.990324605,239.705162015,HI,Hawaii
Idaho,204.800689639,242.126076055,ID,Idaho
Illinois,209.210445849,241.704621811,IL,Ill.
Indiana,230.837044813,247.508773282,IN,Ind.
Iowa,214.969049528,244.733755255,IA,Iowa
Kansas,228.794481797,242.999086748,KS,Kan.
Kentucky,215.492570034,239.921232719,KY,Ky.
Louisiana,214.050846682,229.744018709,LA,La.
Maine,211.56805136,240.86256436,ME,Maine
Maryland,214.341712263,243.647522109,MD,Md.
Massachusetts,221.576575964,252.02681429,MA,Mass.
Michigan,220.471217808,236.853075747,MI,Mich.
Minnesota,211.753881006,252.362566161,MN,Minn.
Mississippi,,234.829174298,MS,Miss.
Missouri,215.115135684,240.412918215,MO,Mo.
Montana,203.606343555,241.89617797,MT,Mont.
Nebraska,220.94417878,247.881977203,NE,Neb.
Nevada,206.349322649,237.164261073,NV,Nev.
New Hampshire,226.919021179,245.970453768,NH,N.H.
New Jersey,217.628897876,249.007767819,NJ,N.J.
New Mexico,205.287010952,234.639405439,NM,N.M.
New York,200.99188304,238.898121504,NY,N.Y.
North Carolina,209.742016355,242.533383693,NC,N.C.
North Dakota,,244.98666524,ND,N.D.
Ohio,226.128321275,241.506826117,OH,Ohio
Oklahoma,213.696976331,239.495593886,OK,Okla.
Oregon,203.92405662,238.57314243,OR,Ore.
Pennsylvania,203.182060441,243.287393345,PA,Pa.
Rhode Island,200.371087473,240.53088904,RI,R.I.
South Carolina,224.858719604,234.85436793,SC,S.C.
South Dakota,,242.472538592,SD,S.D.
Tennessee,207.60017553,238.18996634,TN,Tenn.
Texas,229.884813514,244.63736591,TX,Texas
Utah,210.468214815,245.448718154,UT,Utah
Vermont,,241.552961408,VT,Vt.
Virginia,215.13647402,251.32060512,VA,Va.
Washington,212.498746461,246.320191055,WA,Wash.
West Virginia,,236.043369315,WV,W.Va.
Wisconsin,218.662861163,242.244783565,WI,Wis.
Wyoming,214.23098425,248.69400698,WY,Wyo.
District of Columbia,207.634692498,233.288442686,DC,D.C.
