state,ell,not ell,postal,ap_abbr
Nation,245.604038256,285.235437972,US,U.S.
Alabama,,269.119966767,AL,Ala.
Alaska,235.094872464,282.385360636,AK,Alaska
Arizona,233.379963424,284.307938727,AZ,Ariz.
Arkansas,259.26426976,275.080298759,AR,Ark.
California,238.339406697,282.670621144,CA,Calif.
Colorado,240.955290816,291.075759847,CO,Colo.
Connecticut,233.412418126,286.139432247,CT,Conn.
Delaware,,279.189052629,DE,Del.
Florida,247.452632296,281.193128712,FL,Fla.
Georgia,238.002088104,282.124759965,GA,Ga.
Hawaii,232.956816777,279.800860819,HI,Hawaii
Idaho,231.441003279,286.090046419,ID,Idaho
Illinois,246.667925646,283.350749494,IL,Ill.
Indiana,270.708973551,288.607556078,IN,Ind.
Iowa,248.834134042,287.538615782,IA,Iowa
Kansas,263.17259048,288.12077147,KS,Kan.
Kentucky,242.893044747,278.349673408,KY,Ky.
Louisiana,,267.227374968,LA,La.
Maine,,284.673009796,ME,Maine
Maryland,237.374969304,283.001032458,MD,Md.
Massachusetts,249.934218548,300.233033322,MA,Mass.
Michigan,241.696158062,281.802306719,MI,Mich.
Minnesota,248.845164529,297.144712235,MN,Minn.
Mississippi,,271.232694071,MS,Miss.
Missouri,,281.190890812,MO,Mo.
Montana,,286.566087099,MT,Mont.
Nebraska,236.576631997,289.837100735,NE,Neb.
Nevada,244.143644419,280.284828422,NV,Nev.
New Hampshire,,294.22173142,NH,N.H.
New Jersey,,292.767058561,NJ,N.J.
New Mexico,239.181257923,273.450852972,NM,N.M.
New York,239.290703385,284.346358172,NY,N.Y.
North Carolina,239.982497043,283.383246785,NC,N.C.
North Dakota,,289.598600149,ND,N.D.
Ohio,242.717945741,288.866641379,OH,Ohio
Oklahoma,237.523915481,276.494076627,OK,Okla.
Oregon,236.609367969,284.634208397,OR,Ore.
Pennsylvania,239.075651011,287.832961728,PA,Pa.
Rhode Island,229.041692706,279.918064808,RI,R.I.
South Carolina,269.781378934,275.001856785,SC,S.C.
South Dakota,,287.610851581,SD,S.D.
Tennessee,243.936512849,279.603405926,TN,Tenn.
Texas,254.56273678,285.866367983,TX,Texas
Utah,233.075504169,289.550328377,UT,Utah
Vermont,,288.135812461,VT,Vt.
Virginia,254.013770202,291.903407222,VA,Va.
Washington,244.734784808,291.843762743,WA,Wash.
West Virginia,,273.497240628,WV,W.Va.
Wisconsin,249.744009432,290.079163919,WI,Wis.
Wyoming,,289.525325518,WY,Wyo.
District of Columbia,235.901753738,267.777972743,DC,D.C.
