state,sd,not sd,postal,ap_abbr
Nation,213.956579549,243.44554212,US,U.S.
Alabama,203.310699731,235.931654626,AL,Ala.
Alaska,199.399892808,235.477960165,AK,Alaska
Arizona,207.635963896,237.497016838,AZ,Ariz.
Arkansas,208.665163495,238.074173537,AR,Ark.
California,201.88185837,235.511438503,CA,Calif.
Colorado,206.678898048,244.861110126,CO,Colo.
Connecticut,211.534185654,243.731862312,CT,Conn.
Delaware,207.732279014,242.022449118,DE,Del.
Florida,230.096784101,249.400429494,FL,Fla.
Georgia,210.422449583,240.163276981,GA,Ga.
Hawaii,202.576063455,241.117118,HI,Hawaii
Idaho,210.197809634,243.446464484,ID,Idaho
Illinois,209.395367075,242.825425579,IL,Ill.
Indiana,219.648670948,251.504904001,IN,Ind.
Iowa,209.445724694,248.531070684,IA,Iowa
Kansas,215.055916271,245.333444272,KS,Kan.
Kentucky,216.038602767,243.127923058,KY,Ky.
Louisiana,204.073986392,234.02344443,LA,La.
Maine,210.966543579,246.736605819,ME,Maine
Maryland,207.497287724,245.309467869,MD,Md.
Massachusetts,225.446134836,254.407451024,MA,Mass.
Michigan,207.559867112,238.851385265,MI,Mich.
Minnesota,228.173803525,251.758386733,MN,Minn.
Mississippi,215.291161057,237.553825489,MS,Miss.
Missouri,215.694514777,243.536144866,MO,Mo.
Montana,211.548695452,244.783692594,MT,Mont.
Nebraska,221.424375632,250.117794815,NE,Neb.
Nevada,202.360197705,235.366879775,NV,Nev.
New Hampshire,218.443646982,250.916891652,NH,N.H.
New Jersey,223.989174605,252.475907852,NJ,N.J.
New Mexico,201.747022038,234.470403206,NM,N.M.
New York,209.039201616,240.574720632,NY,N.Y.
North Carolina,211.675825786,245.894488188,NC,N.C.
North Dakota,215.685366765,248.448931154,ND,N.D.
Ohio,211.649140203,245.781948852,OH,Ohio
Oklahoma,216.997921195,241.424351654,OK,Okla.
Oregon,205.648896458,237.262619888,OR,Ore.
Pennsylvania,218.171180875,245.993173515,PA,Pa.
Rhode Island,202.881109686,243.001505039,RI,R.I.
South Carolina,203.66311567,238.919228543,SC,S.C.
South Dakota,217.820294689,245.952416432,SD,S.D.
Tennessee,210.598400476,240.179612204,TN,Tenn.
Texas,218.818996115,244.212812331,TX,Texas
Utah,213.431201945,246.649115013,UT,Utah
Vermont,207.013982784,247.855685942,VT,Vt.
Virginia,224.22069845,251.252583097,VA,Va.
Washington,213.486935044,245.364969888,WA,Wash.
West Virginia,212.380919178,242.016070964,WV,W.Va.
Wisconsin,213.524363143,244.516292142,WI,Wis.
Wyoming,222.146539719,251.977972986,WY,Wyo.
District of Columbia,200.443960183,236.699489508,DC,D.C.
