state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Nation,266.952675483,296.345338979,295.775224405,US,U.S.,292.646074853,260.386362503,269.019033591,309.528848452,267.443649909,245.604038256,285.235437972,247.131927305,287.890580039
Alabama,257.564725808,285.930534751,,AL,Ala.,277.349254452,251.557411492,256.714227679,,,,269.119966767,229.222960864,272.539307942
Alaska,261.513992689,290.549181648,,AK,Alaska,290.611768376,254.766202496,273.491623949,274.274972059,253.103371942,235.094872464,282.385360636,238.226477968,282.524327771
Arizona,269.595342621,293.048748012,308.994568285,AZ,Ariz.,296.380354732,272.277281717,269.162318661,315.509915878,262.835385606,233.379963424,284.307938727,240.771977799,286.658811456
Arkansas,263.254877364,290.538597138,,AR,Ark.,281.753801783,248.43739836,267.023496871,,,259.26426976,275.080298759,236.416125805,278.849787936
California,261.564882594,295.616792546,,CA,Calif.,293.012828707,254.551714822,262.252816363,310.701355305,,238.339406697,282.670621144,235.03893268,281.646676813
Colorado,267.769438742,298.605147462,,CO,Colo.,297.892016486,262.546576641,268.103510064,301.12748989,,240.955290816,291.075759847,246.390719081,290.873756065
Connecticut,263.649125429,295.080217039,,CT,Conn.,295.01324765,257.734413474,263.004020176,310.546725962,,233.412418126,286.139432247,251.754882557,289.736272215
Delaware,265.327009894,283.666862458,,DE,Del.,288.721760702,262.519312011,267.331943768,314.421786533,,,279.189052629,242.221888811,284.563589228
Florida,268.728139163,292.971905442,,FL,Fla.,290.622168739,262.100423168,273.135079138,302.585666465,,247.452632296,281.193128712,256.58508848,282.592678007
Georgia,267.449822515,298.953882563,296.408487284,GA,Ga.,293.275865014,264.025954615,274.673928073,319.559304639,,238.002088104,282.124759965,251.37575944,284.946747341
Hawaii,267.958105764,285.119350527,,HI,Hawaii,286.353271179,,269.081642081,276.279295019,,232.956816777,279.800860819,236.203004059,281.738517448
Idaho,270.323790807,294.115424049,298.589961179,ID,Idaho,289.358352522,,264.725238924,,,231.441003279,286.090046419,237.187624284,289.350924601
Illinois,266.635290496,295.747479487,,IL,Ill.,291.381611566,256.713031893,271.617982929,313.399734627,,246.667925646,283.350749494,241.588741137,287.756436854
Indiana,273.110985572,299.201114709,,IN,Ind.,291.545549333,270.286506003,275.699999204,,,270.708973551,288.607556078,258.678774524,292.24096046
Iowa,269.85803976,295.905488629,,IA,Iowa,289.568400149,255.22276105,273.484605465,308.20783509,,248.834134042,287.538615782,242.290480462,292.404152579
