state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Kansas,270.481405119,298.432240012,,KS,Kan.,293.18225351,259.311777382,269.066168365,303.664220182,,263.17259048,288.12077147,246.965572109,290.457022773
Kentucky,265.339402395,293.018568001,,KY,Ky.,281.881843763,252.186623354,269.330650018,303.683766892,,242.893044747,278.349673408,243.004702488,282.435503305
Louisiana,258.358710046,284.894078188,250.901479198,LA,La.,278.956084193,252.241578597,262.559940977,,,,267.227374968,240.427412607,271.682602229
Maine,269.484513178,294.21011279,,ME,Maine,284.40583856,,,,,,284.673009796,244.878594961,292.819727023
Maryland,261.130814023,295.361495315,,MD,Md.,295.449871633,261.558880916,267.153056816,314.762680661,,237.374969304,283.001032458,242.825960656,286.200268805
Massachusetts,278.142909467,304.56407569,,MA,Mass.,303.258972099,270.671713448,274.308930584,322.891464859,,249.934218548,300.233033322,263.411182164,304.32667265
Michigan,261.191678436,292.428164694,,MI,Mich.,285.676253041,250.150041818,264.209606594,312.45912981,,241.696158062,281.802306719,241.020905969,284.504892874
Minnesota,273.770128898,304.775712938,,MN,Minn.,301.914766777,259.027808189,268.863339424,297.43735846,,248.845164529,297.144712235,255.925928634,299.01331263
Mississippi,263.921575265,289.403585855,,MS,Miss.,284.648316185,257.271744325,270.811375754,,,,271.232694071,236.928879594,274.532068217
Missouri,267.6536514,291.810423154,,MO,Mo.,286.225805845,255.948001881,272.493602681,,,,281.190890812,243.825616184,285.860815176
Montana,274.023697591,294.330226649,,MT,Mont.,290.456269204,,272.284896236,,258.16803253,,286.566087099,242.771877378,291.577879861
Nebraska,272.237576832,300.323664306,,NE,Neb.,296.543160005,259.724524733,270.474895501,292.599552874,,236.576631997,289.837100735,247.491907406,295.202708528
Nevada,263.514261816,292.392220423,,NV,Nev.,289.04184684,252.691018009,266.34532748,295.745583379,,244.143644419,280.284828422,239.177470648,279.179740825
New Hampshire,273.202455811,299.871338178,,NH,N.H.,294.867685549,,268.219815406,303.773696507,,,294.22173142,260.854228188,299.445398374
New Jersey,269.499662299,303.739179385,,NJ,N.J.,302.522591215,268.446086408,272.720656697,325.187784193,,,292.767058561,252.515844822,299.505334551
New Mexico,263.074210239,287.64018031,,NM,N.M.,286.997762464,,264.01956842,,257.121103522,239.181257923,273.450852972,232.301397401,275.534342551
New York,268.567248945,294.094817419,,NY,N.Y.,291.568168237,260.499926558,265.466068214,308.674892136,,239.290703385,284.346358172,248.261632278,288.535483755
North Carolina,265.036788505,296.650144595,299.613401485,NC,N.C.,295.085909009,258.402979837,271.864326964,309.461317175,,239.982497043,283.383246785,240.92442348,288.07694182
North Dakota,269.165527833,296.424329774,,ND,N.D.,294.036289081,251.942018223,270.073483634,,261.887722119,,289.598600149,253.389550816,293.406221205
Ohio,266.976488324,303.004273197,,OH,Ohio,295.384579425,254.172791022,278.621558108,,,242.717945741,288.866641379,249.949859593,293.939506653
Oklahoma,264.886447855,288.211538264,,OK,Okla.,281.838653979,256.910222155,262.951072113,288.390782046,269.450557631,237.523915481,276.494076627,239.504296734,281.192411202
Oregon,271.431710424,298.657595466,,OR,Ore.,288.333887022,,265.702960788,299.111317573,,236.609367969,284.634208397,247.160938276,287.548008508
Pennsylvania,269.238984202,300.618251681,,PA,Pa.,293.733860249,260.54055288,261.902618764,311.164677763,,239.075651011,287.832961728,249.609884497,292.931613924
Rhode Island,260.076182834,292.59793911,,RI,R.I.,286.687144098,260.77384362,256.86418086,,,229.041692706,279.918064808,242.558822693,283.261033187
South Carolina,262.797677867,290.369531155,,SC,S.C.,288.073345485,253.099800762,271.756864669,,,269.781378934,275.001856785,237.303781156,280.050662977
South Dakota,269.046590439,295.968720844,,SD,S.D.,293.37442178,257.729427785,268.504143551,,253.763957318,,287.610851581,242.191187868,292.154269771
Tennessee,268.008208187,288.070093315,,TN,Tenn.,285.615531343,258.061204057,269.015491654,,,243.936512849,279.603405926,242.237371041,284.038479686
Texas,270.909381595,297.422271917,294.460907593,TX,Texas,297.482647543,265.81463481,273.53467849,321.524179748,,254.56273678,285.866367983,250.464502915,286.658913344
Utah,270.12880993,296.23655947,,UT,Utah,293.865275802,,262.820341299,275.573247923,,233.075504169,289.550328377,242.831028092,291.967271512
Vermont,271.552908974,296.450077044,,VT,Vt.,288.016063265,,,,,,288.135812461,250.772821046,296.410602952
Virginia,271.577904877,300.92751824,,VA,Va.,296.717276475,270.827070243,279.98567841,316.174818805,,254.013770202,291.903407222,254.530222289,294.83767301
Washington,271.801166683,301.023411718,,WA,Wash.,295.259391933,258.5498625,270.530558463,307.678851031,,244.734784808,291.843762743,249.21431696,294.903970219
West Virginia,268.30582306,288.505474133,,WV,W.Va.,274.474473301,253.543101617,,,,,273.497240628,233.906900051,279.422466857
Wisconsin,267.889831357,299.671608442,285.233293616,WI,Wis.,295.768007924,253.03161975,267.124416925,286.297175278,,249.744009432,290.079163919,250.656622494,293.203094934
Wyoming,276.279514585,296.348134931,,WY,Wyo.,292.060653744,,275.24866757,,267.711105935,,289.525325518,254.388507547,293.895816163
District of Columbia,254.241758346,303.264204541,,DC,D.C.,322.692220501,256.985766842,263.442165358,,,235.901753738,267.777972743,229.853274019,273.207059716
