state,white,black,hispanic,asian/pacific islander,american indian/alaska native,postal,ap_abbr
Nation,292.646074853,260.386362503,269.019033591,309.528848452,267.443649909,US,U.S.
Alabama,277.349254452,251.557411492,256.714227679,,,AL,Ala.
Alaska,290.611768376,254.766202496,273.491623949,274.274972059,253.103371942,AK,Alaska
Arizona,296.380354732,272.277281717,269.162318661,315.509915878,262.835385606,AZ,Ariz.
Arkansas,281.753801783,248.43739836,267.023496871,,,AR,Ark.
California,293.012828707,254.551714822,262.252816363,310.701355305,,CA,Calif.
Colorado,297.892016486,262.546576641,268.103510064,301.12748989,,CO,Colo.
Connecticut,295.01324765,257.734413474,263.004020176,310.546725962,,CT,Conn.
Delaware,288.721760702,262.519312011,267.331943768,314.421786533,,DE,Del.
Florida,290.622168739,262.100423168,273.135079138,302.585666465,,FL,Fla.
Georgia,293.275865014,264.025954615,274.673928073,319.559304639,,GA,Ga.
Hawaii,286.353271179,,269.081642081,276.279295019,,HI,Hawaii
Idaho,289.358352522,,264.725238924,,,ID,Idaho
Illinois,291.381611566,256.713031893,271.617982929,313.399734627,,IL,Ill.
Indiana,291.545549333,270.286506003,275.699999204,,,IN,Ind.
Iowa,289.568400149,255.22276105,273.484605465,308.20783509,,IA,Iowa
Kansas,293.18225351,259.311777382,269.066168365,303.664220182,,KS,Kan.
Kentucky,281.881843763,252.186623354,269.330650018,303.683766892,,KY,Ky.
Louisiana,278.956084193,252.241578597,262.559940977,,,LA,La.
Maine,284.40583856,,,,,ME,Maine
Maryland,295.449871633,261.558880916,267.153056816,314.762680661,,MD,Md.
Massachusetts,303.258972099,270.671713448,274.308930584,322.891464859,,MA,Mass.
Michigan,285.676253041,250.150041818,264.209606594,312.45912981,,MI,Mich.
Minnesota,301.914766777,259.027808189,268.863339424,297.43735846,,MN,Minn.
Mississippi,284.648316185,257.271744325,270.811375754,,,MS,Miss.
Missouri,286.225805845,255.948001881,272.493602681,,,MO,Mo.
Montana,290.456269204,,272.284896236,,258.16803253,MT,Mont.
Nebraska,296.543160005,259.724524733,270.474895501,292.599552874,,NE,Neb.
Nevada,289.04184684,252.691018009,266.34532748,295.745583379,,NV,Nev.
New Hampshire,294.867685549,,268.219815406,303.773696507,,NH,N.H.
New Jersey,302.522591215,268.446086408,272.720656697,325.187784193,,NJ,N.J.
New Mexico,286.997762464,,264.01956842,,257.121103522,NM,N.M.
New York,291.568168237,260.499926558,265.466068214,308.674892136,,NY,N.Y.
North Carolina,295.085909009,258.402979837,271.864326964,309.461317175,,NC,N.C.
North Dakota,294.036289081,251.942018223,270.073483634,,261.887722119,ND,N.D.
Ohio,295.384579425,254.172791022,278.621558108,,,OH,Ohio
Oklahoma,281.838653979,256.910222155,262.951072113,288.390782046,269.450557631,OK,Okla.
Oregon,288.333887022,,265.702960788,299.111317573,,OR,Ore.
Pennsylvania,293.733860249,260.54055288,261.902618764,311.164677763,,PA,Pa.
Rhode Island,286.687144098,260.77384362,256.86418086,,,RI,R.I.
South Carolina,288.073345485,253.099800762,271.756864669,,,SC,S.C.
South Dakota,293.37442178,257.729427785,268.504143551,,253.763957318,SD,S.D.
Tennessee,285.615531343,258.061204057,269.015491654,,,TN,Tenn.
Texas,297.482647543,265.81463481,273.53467849,321.524179748,,TX,Texas
Utah,293.865275802,,262.820341299,275.573247923,,UT,Utah
Vermont,288.016063265,,,,,VT,Vt.
Virginia,296.717276475,270.827070243,279.98567841,316.174818805,,VA,Va.
Washington,295.259391933,258.5498625,270.530558463,307.678851031,,WA,Wash.
West Virginia,274.474473301,253.543101617,,,,WV,W.Va.
Wisconsin,295.768007924,253.03161975,267.124416925,286.297175278,,WI,Wis.
Wyoming,292.060653744,,275.24866757,,267.711105935,WY,Wyo.
District of Columbia,322.692220501,256.985766842,263.442165358,,,DC,D.C.
