state,ell,not ell,postal,ap_abbr
Nation,188.737556963,225.936863256,US,U.S.
Alabama,,217.863923591,AL,Ala.
Alaska,151.140494762,216.229018989,AK,Alaska
Arizona,170.932244025,220.604909203,AZ,Ariz.
Arkansas,199.356381386,217.949248277,AR,Ark.
California,187.417018191,225.328262087,CA,Calif.
Colorado,189.369014672,230.59912806,CO,Colo.
Connecticut,193.696594606,231.195754442,CT,Conn.
Delaware,193.632957942,224.38717653,DE,Del.
Florida,191.522925839,231.555973052,FL,Fla.
Georgia,189.975049477,221.098732885,GA,Ga.
Hawaii,166.733489528,219.409996491,HI,Hawaii
Idaho,173.515504539,225.89508838,ID,Idaho
Illinois,186.237570364,224.560075342,IL,Ill.
Indiana,199.777144792,228.046750236,IN,Ind.
Iowa,184.082617693,224.077314864,IA,Iowa
Kansas,208.119456112,225.446384797,KS,Kan.
Kentucky,184.296992254,225.251637859,KY,Ky.
Louisiana,191.181497386,212.547665486,LA,La.
Maine,176.520741072,223.087062886,ME,Maine
Maryland,190.809403843,228.802818714,MD,Md.
Massachusetts,200.709995878,239.244064584,MA,Mass.
Michigan,193.149886753,219.936480731,MI,Mich.
Minnesota,181.465030832,228.689022013,MN,Minn.
Mississippi,,215.607851795,MS,Miss.
Missouri,199.114943991,223.440430532,MO,Mo.
Montana,176.339772518,223.788352305,MT,Mont.
Nebraska,189.17596425,227.404338678,NE,Neb.
Nevada,178.047504245,222.759523392,NV,Nev.
New Hampshire,205.012909075,229.732106053,NH,N.H.
New Jersey,182.119738308,234.704868203,NJ,N.J.
New Mexico,167.413694876,215.874355064,NM,N.M.
New York,180.32323853,225.8037662,NY,N.Y.
North Carolina,179.650356576,226.34616874,NC,N.C.
North Dakota,,222.424868742,ND,N.D.
Ohio,213.604115138,225.723245554,OH,Ohio
Oklahoma,189.92236599,219.039475619,OK,Okla.
Oregon,180.560315755,224.42051084,OR,Ore.
Pennsylvania,174.096588151,226.925439518,PA,Pa.
Rhode Island,177.060446319,227.148011782,RI,R.I.
South Carolina,196.410855629,214.63314349,SC,S.C.
South Dakota,,222.720900339,SD,S.D.
Tennessee,178.806257813,221.27041993,TN,Tenn.
Texas,194.091711449,221.688742447,TX,Texas
Utah,179.040249384,229.342362018,UT,Utah
Vermont,,227.131392285,VT,Vt.
Virginia,186.83205725,231.325302179,VA,Va.
Washington,181.446850992,229.469230632,WA,Wash.
West Virginia,,217.343065826,WV,W.Va.
Wisconsin,191.082905383,221.925118668,WI,Wis.
Wyoming,178.144301547,228.249205912,WY,Wyo.
District of Columbia,172.44745172,216.666276123,DC,D.C.
