year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,140.258121175,168.70785876,165.462730591,US,U.S.
2015,Alabama,134.039118519,161.941030772,,AL,Ala.
2015,Arizona,136.758919293,167.145281893,168.317398913,AZ,Ariz.
2015,Arkansas,143.856524446,164.270694411,,AR,Ark.
2015,California,127.595211755,162.406869496,,CA,Calif.
2015,Colorado,,,,CO,Colo.
2015,Connecticut,133.784738877,166.636960002,,CT,Conn.
2015,Delaware,139.720201675,158.374855721,,DE,Del.
2015,DoDEA,,,165.954016488,,
2015,Florida,150.138546443,171.927527535,,FL,Fla.
2015,Georgia,142.368857232,169.457366408,157.39919502,GA,Ga.
2015,Hawaii,133.750369594,161.565322026,,HI,Hawaii
2015,Idaho,146.539030015,165.793313994,,ID,Idaho
2015,Illinois,136.899209857,167.822381233,,IL,Ill.
2015,Indiana,147.421154838,170.495528764,,IN,Ind.
2015,Iowa,147.256940536,167.823229971,,IA,Iowa
2015,Kansas,141.580344372,169.482956909,,KS,Kan.
2015,Kentucky,152.396344419,171.870808385,,KY,Ky.
2015,Louisiana,,,,LA,La.
2015,Maine,149.717162892,166.2204926,,ME,Maine
2015,Maryland,135.855360004,167.715969332,,MD,Md.
2015,Massachusetts,144.915018015,173.470659102,,MA,Mass.
2015,Michigan,141.027758132,165.922494181,,MI,Mich.
2015,Minnesota,140.30328808,168.87186083,,MN,Minn.
2015,Mississippi,132.982890674,162.457683143,,MS,Miss.
2015,Missouri,143.7820454,167.845983561,,MO,Mo.
2015,Montana,148.67376813,168.722581772,,MT,Mont.
2015,Nebraska,147.220407019,174.373046735,,NE,Neb.
2015,Nevada,132.5138983,156.335509737,,NV,Nev.
2015,New Hampshire,150.168845259,171.289772433,,NH,N.H.
2015,New Jersey,137.001484898,167.74796195,,NJ,N.J.
2015,New Mexico,135.725945989,163.09573005,,NM,N.M.
2015,New York,137.760603235,164.223469313,,NY,N.Y.
2015,North Carolina,142.971862917,170.22673026,,NC,N.C.
2015,North Dakota,148.871644772,167.025173154,,ND,N.D.
2015,Ohio,143.124293731,170.297537068,,OH,Ohio
2015,Oklahoma,146.224985091,164.618518979,,OK,Okla.
2015,Oregon,142.846875611,172.292336604,,OR,Ore.
2015,Pennsylvania,,,,PA,Pa.
2015,Rhode Island,137.993839505,166.739136886,,RI,R.I.
2015,South Carolina,144.829975685,173.426136941,,SC,S.C.
2015,South Dakota,144.963822938,165.676460091,,SD,S.D.
2015,Tennessee,146.878486625,169.512105256,,TN,Tenn.
2015,Texas,143.660513545,173.368101056,,TX,Texas
2015,Utah,146.32379242,167.760934784,,UT,Utah
2015,Vermont,151.737204231,171.90620523,,VT,Vt.
2015,Virginia,147.297086519,177.412236246,,VA,Va.
2015,Washington,143.06899883,173.485685091,,WA,Wash.
2015,West Virginia,147.250447032,162.021252423,,WV,W.Va.
2015,Wisconsin,140.518330032,168.61494692,,WI,Wis.
2015,Wyoming,150.922103323,168.22136861,,WY,Wyo.
