state,sd,not sd,postal,ap_abbr
Nation,186.62373569,227.017773524,US,U.S.
Alabama,173.844291173,221.689864933,AL,Ala.
Alaska,159.408882646,214.712438387,AK,Alaska
Arizona,182.598316803,219.330648405,AZ,Ariz.
Arkansas,171.090646985,223.546096072,AR,Ark.
California,175.003422164,219.95871424,CA,Calif.
Colorado,177.634151829,230.521339078,CO,Colo.
Connecticut,191.560044372,234.352580631,CT,Conn.
Delaware,183.450456687,229.367767165,DE,Del.
Florida,205.615661881,232.440338171,FL,Fla.
Georgia,176.63435794,225.476315584,GA,Ga.
Hawaii,168.146273532,220.708776608,HI,Hawaii
Idaho,172.831008668,228.331077086,ID,Idaho
Illinois,181.620152775,226.61219037,IL,Ill.
Indiana,194.146580614,232.446259145,IN,Ind.
Iowa,176.19306649,229.221377612,IA,Iowa
Kansas,182.190628579,229.462199302,KS,Kan.
Kentucky,195.842817318,228.399130157,KY,Ky.
Louisiana,180.422309912,217.880378156,LA,La.
Maine,183.693710124,230.087178937,ME,Maine
Maryland,187.537835751,230.016447092,MD,Md.
Massachusetts,208.951279613,241.588879218,MA,Mass.
Michigan,175.908572991,222.707150834,MI,Mich.
Minnesota,192.626720049,228.998168446,MN,Minn.
Mississippi,182.323128468,220.036467306,MS,Miss.
Missouri,187.362987162,228.766754754,MO,Mo.
Montana,176.556758639,228.811268615,MT,Mont.
Nebraska,189.077693172,230.521019794,NE,Neb.
Nevada,173.58616367,219.968937607,NV,Nev.
New Hampshire,195.581553387,235.730828643,NH,N.H.
New Jersey,204.423214723,238.51524546,NJ,N.J.
New Mexico,161.481243849,215.478400516,NM,N.M.
New York,188.585477882,228.107758849,NY,N.Y.
North Carolina,186.584042992,230.216610054,NC,N.C.
North Dakota,179.646758656,227.434739218,ND,N.D.
Ohio,188.58900745,231.389409025,OH,Ohio
Oklahoma,179.585737412,223.988883622,OK,Okla.
Oregon,182.363474252,222.909561181,OR,Ore.
Pennsylvania,194.046259765,230.439604335,PA,Pa.
Rhode Island,177.972535616,230.355464892,RI,R.I.
South Carolina,167.425896974,220.431401444,SC,S.C.
South Dakota,188.561027958,227.691442794,SD,S.D.
Tennessee,181.948548908,223.769762717,TN,Tenn.
Texas,185.938253054,219.156515971,TX,Texas
Utah,185.300079866,231.011769483,UT,Utah
Vermont,179.555397355,235.878222857,VT,Vt.
Virginia,191.132066858,232.587485259,VA,Va.
Washington,180.794423683,228.971003139,WA,Wash.
West Virginia,185.18031345,225.419588267,WV,W.Va.
Wisconsin,177.649124544,226.260575133,WI,Wis.
Wyoming,188.891111898,233.01630521,WY,Wyo.
District of Columbia,177.454179851,219.372330359,DC,D.C.
