state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,201.956994882188,199.286095805498,,227.695864005171,207.068512345606,,235.994040491975,Ala.,AL
Alaska,169.452226064484,206.098116630933,211.606759420735,211.088931750878,219.406615820114,223.21842902245,189.816006703574,,223.638007204835,Alaska,AK
Arizona,186.356781032483,240.348033007672,205.517037177531,204.244811664461,232.177716207032,231.534562376504,202.696744338396,232.299177721769,237.134271424928,Ariz.,AZ
Arkansas,,207.718949003381,198.254830285713,210.392930516689,,223.542742433286,208.555427867881,,231.937639795401,Ark.,AR
California,,242.152782666098,198.692720528868,204.240299616703,231.3192869715,231.359000575944,202.830139945866,221.296075395182,235.481578253087,Calif.,CA
Colorado,,236.105684664136,206.314381540915,209.278876083704,227.854867908924,235.40508283729,208.374269057911,229.361485075889,237.516222305635,Colo.,CO
Connecticut,,248.179690892347,209.524478514554,213.021804610724,234.016403187002,237.815505490987,211.196322956943,,239.72144250135,Conn.,CT
Delaware,,249.895219375367,209.387655059011,209.268548470555,224.327308323086,232.619479496775,210.419549963586,,229.450145851083,Del.,DE
District of Columbia,,,206.795405413502,204.447692474163,,256.265815418117,203.757469780647,,248.891200330422,D.C.,DC
DoDEA,,232.861227161694,226.04463510171,229.144645143414,235.01193515547,239.631306394514,,,,,
Florida,,249.119987017149,212.366361417269,224.933756107077,229.92756152641,238.500971600586,219.277085329659,,242.659709681386,Fla.,FL
Georgia,,247.539153491873,206.262401005859,213.548534445652,225.679000984139,230.771208173,208.588128189194,,240.675480681088,Ga.,GA
Hawaii,,212.07320332426,,212.130004948313,222.216190552937,233.450735095999,202.755168592613,,229.01346981112,Hawaii,HI
Idaho,,,,204.96584678239,,227.752770815132,210.831870774825,226.731301965008,234.02361464213,Idaho,ID
Illinois,,243.865529287448,199.485411929581,209.102286510873,218.671030282589,231.803870050429,206.216576085011,,235.439863408248,Ill.,IL
Indiana,,,209.978061289431,214.27393350892,224.105437792067,231.064569186819,215.028333535656,,238.183260389089,Ind.,IN
Iowa,,,188.266969871815,204.624207498469,217.449517878787,227.024456167013,205.758276998397,,233.389085774194,Iowa,IA
Kansas,,235.621451611051,202.289506455635,215.939131905766,220.291351534634,227.774241608701,212.041510033929,,234.103679974564,Kan.,KS
Kentucky,,228.124136786048,203.944234072362,215.958778623462,224.616344431306,227.449206124414,214.737954825088,,236.909259436596,Ky.,KY
Louisiana,,,197.761191894463,208.222818335094,,225.499203804456,203.516334503796,195.405543568208,233.648882502326,La.,LA
Maine,,,191.797158947646,,,223.098647579918,207.212334265859,,233.664716215887,Maine,ME
Maryland,,245.271235335562,212.480909607946,209.412096478465,227.764532606023,239.290476699165,209.856066489049,200.762728532196,238.067465688048,Md.,MD
Massachusetts,,247.142994590119,218.942022126605,216.628302805524,236.718202234936,243.062378720082,219.3009330868,,243.236165624723,Mass.,MA
Michigan,,237.255897664963,196.631119614216,205.526113800135,219.137122608707,223.565851381587,203.401480867798,,230.981419764728,Mich.,MI
Minnesota,,221.461424702188,197.280792190445,205.870851590747,228.773250346887,231.709525515567,207.09509526984,,236.03045801455,Minn.,MN
Mississippi,,,203.005103469246,213.289559185956,,228.882547289552,208.469497266553,,240.263318953488,Miss.,MS
