state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,242.831491519473,246.46452873771,,267.732613937728,248.220469465483,,269.850540019095,Ala.,AL
Alaska,233.725523175724,261.296606289459,251.69498040322,260.01399893566,263.528789392009,273.512077251709,244.786125111213,,273.093965584087,Alaska,AK
Arizona,240.807942679452,268.958776010516,248.084032017076,251.080804270498,,271.600264955128,249.44213546295,275.96662730809,271.019243122094,Ariz.,AZ
Arkansas,,,237.828089637211,253.43228431825,,266.618118679064,249.623749738714,,271.811634855644,Ark.,AR
California,,270.616946977411,242.838334136961,245.224908018073,,268.070219918183,244.305031869922,260.269360903675,267.802863176353,Calif.,CA
Colorado,,284.529530481205,256.958886432165,254.250070304505,283.213659728515,278.255290742046,253.604383027236,,280.80960049504,Colo.,CO
Connecticut,,282.037385295251,254.880772577865,254.573109943872,,283.114389134877,256.663016309564,,283.303818292011,Conn.,CT
Delaware,,284.613242403119,254.248911651709,259.271643912458,,273.434942715007,256.073501316669,,273.286784154196,Del.,DE
District of Columbia,,,238.533103167993,239.054087280572,,291.957934295055,235.399646848479,,258.784885138386,D.C.,DC
DoDEA,,271.846606315651,263.221690073326,268.09085562988,273.204194958387,276.938196473087,,,,,
Florida,,278.585309772087,247.599129971637,259.0550239805,264.793480953565,269.948610349488,253.528418527222,,272.573583731804,Fla.,FL
Georgia,,277.431776412603,250.538830762088,257.648397878363,272.730817862718,271.648591877975,252.802190571252,,274.491964627494,Ga.,GA
Hawaii,,254.837566430127,261.047224806405,246.415769012221,256.196231254258,272.86309120363,246.027920416933,,266.893879309573,Hawaii,HI
Idaho,,,,253.862543824247,,270.828083295346,259.311983061253,,274.901580597096,Idaho,ID
Illinois,,280.456814147348,249.425364725836,257.097514751859,262.756954536017,274.109625735168,252.990627582958,,277.415103700972,Ill.,IL
Indiana,,,246.522063172584,255.374084655242,263.449642637631,268.930617623615,254.167935905958,,272.961338163598,Ind.,IN
Iowa,,266.453250883568,246.526712705419,251.139433250777,,267.248674880523,252.92364014588,,271.552685459772,Iowa,IA
Kansas,,269.462310110496,247.707018285154,254.197575520312,264.266504248197,272.272466916404,255.949970538435,,276.214053224936,Kan.,KS
Kentucky,,,248.369977525675,263.593470478139,,271.492257221472,260.249048971927,,277.773107892202,Ky.,KY
Louisiana,,,241.396015468138,248.834111059233,,264.206436634653,246.528880500749,,267.895558761419,La.,LA
Maine,,,247.977584608145,,,270.609055019837,258.290941923655,,277.990371025349,Maine,ME
Maryland,,293.712205584168,255.353811729621,261.715006992918,275.653664178872,281.726078667098,252.840939946237,,279.918822710441,Md.,MD
Massachusetts,,288.139815552126,254.659618479269,247.913194614432,,281.838448465127,257.497247505917,,284.04607758957,Mass.,MA
Michigan,,278.717136206376,244.134174695125,260.328388354232,,269.488913980033,253.349409053847,,273.834728204039,Mich.,MI
Minnesota,258.065377385179,266.545777693093,246.272568377123,257.300253900693,,274.244778059281,255.341740151179,,276.816505842732,Minn.,MN
Mississippi,,,240.408904270729,,,267.260996795833,245.665732439133,,271.240680575006,Miss.,MS
Missouri,,,243.799374867762,257.742674197331,,271.245880055329,254.654768674136,,275.726622347666,Mo.,MO
Montana,256.515233638631,,,262.232734277175,,275.13619860463,263.271335059616,,278.528768790067,Mont.,MT
