state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,248.220469465483,,269.850540019095,Ala.,AL
Alaska,244.786125111213,,273.093965584087,Alaska,AK
Arizona,249.44213546295,275.96662730809,271.019243122094,Ariz.,AZ
Arkansas,249.623749738714,,271.811634855644,Ark.,AR
California,244.305031869922,260.269360903675,267.802863176353,Calif.,CA
Colorado,253.604383027236,,280.80960049504,Colo.,CO
Connecticut,256.663016309564,,283.303818292011,Conn.,CT
Delaware,256.073501316669,,273.286784154196,Del.,DE
District of Columbia,235.399646848479,,258.784885138386,D.C.,DC
Florida,253.528418527222,,272.573583731804,Fla.,FL
Georgia,252.802190571252,,274.491964627494,Ga.,GA
Hawaii,246.027920416933,,266.893879309573,Hawaii,HI
Idaho,259.311983061253,,274.901580597096,Idaho,ID
Illinois,252.990627582958,,277.415103700972,Ill.,IL
Indiana,254.167935905958,,272.961338163598,Ind.,IN
Iowa,252.92364014588,,271.552685459772,Iowa,IA
Kansas,255.949970538435,,276.214053224936,Kan.,KS
Kentucky,260.249048971927,,277.773107892202,Ky.,KY
Louisiana,246.528880500749,,267.895558761419,La.,LA
Maine,258.290941923655,,277.990371025349,Maine,ME
Maryland,252.840939946237,,279.918822710441,Md.,MD
Massachusetts,257.497247505917,,284.04607758957,Mass.,MA
Michigan,253.349409053847,,273.834728204039,Mich.,MI
Minnesota,255.341740151179,,276.816505842732,Minn.,MN
Mississippi,245.665732439133,,271.240680575006,Miss.,MS
Missouri,254.654768674136,,275.726622347666,Mo.,MO
Montana,263.271335059616,,278.528768790067,Mont.,MT
Nation,251.431300917111,264.787818792035,274.681447051983,U.S.,US
Nebraska,254.676872232225,,275.909125252991,Neb.,NE
Nevada,247.823525935122,,267.378140981573,Nev.,NV
New Hampshire,257.059154497008,,276.245384260285,N.H.,NH
New Jersey,255.227523221089,,283.488304773286,N.J.,NJ
New Mexico,249.216807438015,,267.418154329165,N.M.,NM
New York,254.713451071229,,277.003791091584,N.Y.,NY
North Carolina,251.825157434185,,274.320208141611,N.C.,NC
North Dakota,257.089092602034,,273.632216821951,N.D.,ND
Ohio,254.853406157859,,278.319407245109,Ohio,OH
Oklahoma,253.623688190948,,267.601182508687,Okla.,OK
Oregon,252.528085545599,,276.253485564181,Ore.,OR
Pennsylvania,251.793797545025,,278.308045453661,Pa.,PA
Rhode Island,251.072479984436,,274.963357905561,R.I.,RI
South Carolina,249.956616899529,,271.088208657749,S.C.,SC
South Dakota,257.499781020031,,275.086236279389,S.D.,SD
Tennessee,249.510474511754,,270.102152637241,Tenn.,TN
Texas,252.629020029759,,273.743294494127,Texas,TX
Utah,253.584285530778,,274.342339577216,Utah,UT
Vermont,259.550320302036,,280.862080988743,Vt.,VT
Virginia,249.549219588521,,275.644762009979,Va.,VA
Washington,254.79254354172,,276.097100801931,Wash.,WA
West Virginia,246.460055855152,,264.45073043325,W.Va.,WV
Wisconsin,250.823363807022,,275.262790998369,Wis.,WI
Wyoming,259.82825635457,,274.770952767745,Wyo.,WY
