state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Michigan,,279.57485188874,245.350657979865,259.057815212183,265.919458452551,269.530487143057,252.914179410008,,275.221121265319,Mich.,MI
Minnesota,,265.175567958263,244.899774923124,252.235399526191,269.875692830746,274.628842095745,250.702625617397,,278.300352439685,Minn.,MN
Mississippi,,,241.959305959945,252.906782916483,,271.298370508236,248.222973204839,,277.731850244205,Miss.,MS
Missouri,,,249.657370895114,257.435445055971,270.699892120392,270.128699118985,253.707405102476,,276.126281583416,Mo.,MO
Montana,246.486414159934,,,259.395832841708,260.931417884806,270.451356089587,258.286917055532,,273.6416167149,Mont.,MT
Nation,252.70538137598,281.186351066544,248.374186661862,254.59896064282,270.387842790646,273.753889761968,253.085353045791,266.887087825623,277.396957182779,U.S.,US
Nebraska,,,245.092643472283,254.115738977986,259.908891472153,275.31607136547,255.63715156327,,278.680938997485,Neb.,NE
Nevada,,270.866288861414,246.010219683521,253.296441463673,265.717318131991,269.783745210499,252.255633770286,,270.62515553788,Nev.,NV
New Hampshire,,277.147888719848,,261.056866598682,,275.995550603963,259.269056717829,,280.354700565513,N.H.,NH
New Jersey,,297.954405620951,256.956763464705,258.760783768772,,285.009478585694,257.609638209296,,285.205197865845,N.J.,NJ
New Mexico,241.791635351712,,,251.263093858783,,271.416249606988,250.52717544212,,269.288648047906,N.M.,NM
New York,,275.977648425885,251.268992013752,252.806517710244,,271.683442115847,252.629072271622,,275.331883009402,N.Y.,NY
North Carolina,,281.118609405377,247.87993662676,254.985539410333,258.214405886946,271.979102366771,250.018782963637,272.951542095475,273.595464202769,N.C.,NC
North Dakota,246.197524781199,,251.759608962458,259.312056298724,,268.635112279536,252.326328083708,,270.698266198092,N.D.,ND
Ohio,,279.480654930669,243.994853410366,259.608889440091,263.881131298146,274.378098841755,251.131542763363,,282.01964417167,Ohio,OH
Oklahoma,257.527736820446,,246.56802857421,254.83147697425,267.21059151816,265.638272467286,254.332374515907,,272.009971073564,Okla.,OK
Oregon,,271.962448684539,,249.950010729805,273.541525253811,272.653606496853,257.186809461737,,279.808845736833,Ore.,OR
Pennsylvania,,288.247738437018,249.57167406149,244.802668852284,264.641845996001,275.9813350507,257.452327257663,,280.633219880372,Pa.,PA
Rhode Island,,268.819224955607,247.918261195494,247.164732170737,,275.480457634667,246.966550332494,,280.406878310418,R.I.,RI
South Carolina,,,240.898981925334,255.984934173742,267.05571421328,271.71742402162,249.308071983422,,274.445661730537,S.C.,SC
South Dakota,245.741255982686,,,255.13645715458,,271.436674075517,255.316894494802,,274.320727356486,S.D.,SD
Tennessee,,,242.986328274171,250.919280677837,260.815133223218,269.012961841752,252.098749995862,,271.051955017152,Tenn.,TN
Texas,,286.977401085938,247.19338230091,254.3983060448,268.377263465925,270.811325820481,250.687667174858,266.079957804151,272.384398201691,Texas,TX
Utah,,265.936927707808,,251.510941602259,,273.610092649666,256.325179256374,,276.282326367666,Utah,UT
Vermont,,,,,271.362226432519,274.403313509251,259.745895218279,,280.491200314017,Vt.,VT
Virginia,,284.013134958596,250.617118050473,259.438001807764,271.965946110532,274.619548123958,251.316174127724,,276.882711219163,Va.,VA
Washington,,280.288622062863,255.173337946879,257.648836684032,276.822217349664,276.240309769094,257.693175136208,,282.391324453345,Wash.,WA
West Virginia,,,245.343894290628,,,259.340885989406,254.857997835289,,270.548533486501,W.Va.,WV
Wisconsin,,273.454956551602,238.647582183484,255.207589125891,,274.894140574891,253.513627799864,267.941865653661,277.488508963222,Wis.,WI
Wyoming,251.170711985885,,,260.700030021168,,271.694448819151,258.716869178374,,275.302351752355,Wyo.,WY
