state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,222.240186753857,,243.644229666507,Ala.,AL
Alaska,223.889924928808,,247.332906005518,Alaska,AK
Arizona,226.733726130505,,246.572821229807,Ariz.,AZ
Arkansas,230.074071702363,,251.784374394998,Ark.,AR
California,222.014146498035,231.277377497115,251.270923911072,Calif.,CA
Colorado,230.726048322937,,256.129667254717,Colo.,CO
Connecticut,222.973704162836,,254.192486493532,Conn.,CT
Delaware,230.80145122988,,249.899475787794,Del.,DE
District of Columbia,213.240807313859,,246.102476803902,D.C.,DC
Florida,232.333662619982,,252.090518647397,Fla.,FL
Georgia,227.231653235466,,252.464411830495,Ga.,GA
Hawaii,228.45963366123,,248.310068502126,Hawaii,HI
Idaho,231.986035701184,,248.435141472725,Idaho,ID
Illinois,225.084632214371,,251.856025776161,Ill.,IL
Indiana,235.054365489151,,253.011696353092,Ind.,IN
Iowa,232.511778654297,,249.730977477105,Iowa,IA
Kansas,237.641939953847,,255.089424777571,Kan.,KS
Kentucky,232.311574286314,,251.415436471428,Ky.,KY
Louisiana,224.073174747731,,245.707522144698,La.,LA
Maine,234.777349820977,,252.339487894653,Maine,ME
Maryland,232.526206233308,,257.724311027153,Md.,MD
Massachusetts,238.623163774063,,261.058676257282,Mass.,MA
Michigan,223.718959768717,,246.953359372904,Mich.,MI
Minnesota,235.228381567533,,257.732111582024,Minn.,MN
Mississippi,223.633325172576,,246.112391893234,Miss.,MS
Missouri,229.783554156397,,251.526055511493,Mo.,MO
Montana,234.493579772896,,250.94346742371,Mont.,MT
Nation,229.223006598288,246.839115884119,252.128807538375,U.S.,US
Nebraska,226.841792726706,,249.737354157739,Neb.,NE
Nevada,229.087508935363,,247.681503521411,Nev.,NV
New Hampshire,240.617174529647,,255.854015644454,N.H.,NH
New Jersey,232.95062126695,,256.520006411695,N.J.,NJ
New Mexico,226.480730391052,,248.479728844292,N.M.,NM
New York,229.231997953857,249.002271526199,247.66199253521,N.Y.,NY
North Carolina,234.772087271438,,255.516741496416,N.C.,NC
North Dakota,234.6733793419,,251.017229280354,N.D.,ND
Ohio,233.563561850501,,253.453579147065,Ohio,OH
Oklahoma,231.853191847535,,246.17395455209,Okla.,OK
Oregon,225.727586772389,,249.861777783486,Ore.,OR
Pennsylvania,231.007895523841,,255.514630611309,Pa.,PA
Rhode Island,229.354969337969,,251.959293235966,R.I.,RI
South Carolina,227.18830407882,,250.75691941599,S.C.,SC
South Dakota,230.823961702208,,248.695194478644,S.D.,SD
Tennessee,224.544634986105,,244.630958847466,Tenn.,TN
Texas,234.322025624023,,253.231016774388,Texas,TX
Utah,231.628440819879,,249.244603590527,Utah,UT
Vermont,237.767301678391,,252.772527257529,Vt.,VT
Virginia,231.484549993357,,253.026965486256,Va.,VA
Washington,230.172517167076,,254.62108355221,Wash.,WA
West Virginia,226.733632632778,,243.401231252823,W.Va.,WV
Wisconsin,231.353682532242,,254.301474781341,Wis.,WI
Wyoming,236.271501959696,,249.161601250951,Wyo.,WY
