state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,215.083768425771,227.20318649112,,239.973447728463,222.240186753857,,243.644229666507,Ala.,AL
Alaska,212.750893761907,233.503958601705,225.117348890351,238.9934433689,240.187130883837,247.780134437832,223.889924928808,,247.332906005518,Alaska,AK
Arizona,215.888251363725,249.076820106261,224.268778570563,226.603958923565,,246.355062058106,226.733726130505,,246.572821229807,Ariz.,AZ
Arkansas,,246.69961324365,219.27391249955,232.518925765564,,244.352269289141,230.074071702363,,251.784374394998,Ark.,AR
California,,255.698746325867,225.209919190871,221.700624041236,251.658089625569,251.639394538973,222.014146498035,231.277377497115,251.270923911072,Calif.,CA
Colorado,,245.730349096128,225.188840273776,229.910714869759,250.125603757908,254.113292258843,230.726048322937,,256.129667254717,Colo.,CO
Connecticut,,254.60429769814,220.48665715811,222.448716057347,241.385554439678,253.290906438462,222.973704162836,,254.192486493532,Conn.,CT
Delaware,,262.383563944356,227.049658634288,230.995095040617,249.246064296156,249.774438148144,230.80145122988,,249.899475787794,Del.,DE
District of Columbia,,,214.850748175644,223.098403782728,,272.036447730767,213.240807313859,,246.102476803902,D.C.,DC
DoDEA,,244.036949515124,227.946783496165,235.585244701087,243.460598567445,246.10750311701,,,,,
Florida,,257.41172835491,226.385286167107,235.772437600124,242.119931055765,249.686347670199,232.333662619982,,252.090518647397,Fla.,FL
Georgia,,262.519624998642,224.072033311782,233.208654849361,240.771799969382,248.810820376487,227.231653235466,,252.464411830495,Ga.,GA
Hawaii,,236.999692535502,232.895965174287,236.596556665079,241.085466389518,248.302607293946,228.45963366123,,248.310068502126,Hawaii,HI
Idaho,,247.134149569598,,223.181555939278,,244.222586621362,231.986035701184,,248.435141472725,Idaho,ID
Illinois,,256.797843616695,219.342085726025,226.490580168139,244.365972061711,248.708599370158,225.084632214371,,251.856025776161,Ill.,IL
Indiana,,,222.873329580336,234.346960972587,237.767152409464,248.509032637998,235.054365489151,,253.011696353092,Ind.,IN
Iowa,,248.462169569445,224.200269430453,228.850152849106,240.279244659765,245.543188172674,232.511778654297,,249.730977477105,Iowa,IA
Kansas,,252.81586599593,227.025159797364,234.700668160969,243.488702052207,251.092107626275,237.641939953847,,255.089424777571,Kan.,KS
Kentucky,,261.350577832501,225.248910775394,235.906424654102,237.351157709819,242.525688290563,232.311574286314,,251.415436471428,Ky.,KY
Louisiana,,,219.319469238364,230.078356096458,,241.423837566019,224.073174747731,,245.707522144698,La.,LA
Maine,,246.03214823614,211.556586023206,,,245.774845908154,234.777349820977,,252.339487894653,Maine,ME
Maryland,,267.080684735375,229.780544566062,244.733482902273,256.176699856603,257.839818422414,232.526206233308,,257.724311027153,Md.,MD
Massachusetts,,266.955010853622,234.58693413859,235.984346715682,256.627683273064,258.212726935915,238.623163774063,,261.058676257282,Mass.,MA
Michigan,,262.64657474044,211.200618021956,227.883052292726,234.130902345794,241.895890476777,223.718959768717,,246.953359372904,Mich.,MI
Minnesota,232.875704299411,252.557357720528,224.510764853805,230.470252632725,237.334644817291,255.088794488793,235.228381567533,,257.732111582024,Minn.,MN
Mississippi,,,217.357734806662,229.334633749351,,240.695395106477,223.633325172576,,246.112391893234,Miss.,MS
Missouri,,252.107983383336,216.356453968832,231.205241499572,,246.117815210085,229.783554156397,,251.526055511493,Mo.,MO
Montana,219.949400114013,,,236.915831808092,,247.416961003651,234.493579772896,,250.94346742371,Mont.,MT
Nation,226.616190110637,255.798014391157,223.795842345931,228.874095750946,243.681975546156,248.696761714977,229.223006598288,246.839115884119,252.128807538375,U.S.,US
Nebraska,,241.268767934797,212.943613313543,225.979950798566,235.085458464302,246.544928305963,226.841792726706,,249.737354157739,Neb.,NE
Nevada,,251.887274187754,225.630856259802,228.614039209986,238.565312051134,246.817626868809,229.087508935363,,247.681503521411,Nev.,NV
New Hampshire,,263.545952249112,235.006892574273,234.682583656986,,252.472443550578,240.617174529647,,255.854015644454,N.H.,NH
New Jersey,,265.431814250024,230.876848482119,233.941343637958,,255.91796450561,232.95062126695,,256.520006411695,N.J.,NJ
New Mexico,218.803176341805,253.836795232974,226.099500119932,228.216333790935,,246.64363687207,226.480730391052,,248.479728844292,N.M.,NM
