state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Minnesota,207.095095209,236.030458017,,MN,Minn.,231.709525487,197.280792199,205.87085158,221.461424833,,181.465030832,228.689022013,192.626720049,228.998168446
Mississippi,208.469497232,240.263318891,,MS,Miss.,228.882547282,203.0051034,213.289558989,,,,215.607851795,182.323128468,220.036467306
Missouri,210.55772002,236.662438317,,MO,Mo.,227.19534,199.915057168,215.030390992,,,199.114943991,223.440430532,187.362987162,228.766754754
Montana,210.337504861,234.378256877,,MT,Mont.,226.66803667,,221.161272938,,195.552375124,176.339772518,223.788352305,176.556758639,228.811268615
Nebraska,209.439196485,236.611928484,,NE,Neb.,230.751149917,200.522028059,210.932816864,224.478939462,,189.17596425,227.404338678,189.077693172,230.521019794
Nevada,205.540835577,235.359557746,,NV,Nev.,227.299792457,204.205812981,205.248653697,230.634178883,,178.047504245,222.759523392,173.58616367,219.968937607
New Hampshire,211.782263876,236.342076368,,NH,N.H.,229.660975111,,214.565952263,235.04754476,,205.012909075,229.732106053,195.581553387,235.730828643
New Jersey,214.349982993,243.352802649,,NJ,N.J.,242.965901199,215.749344098,217.767285092,248.415937244,,182.119738308,234.704868203,204.423214723,238.51524546
New Mexico,200.317225358,232.37324565,,NM,N.M.,225.377456004,,203.500654255,,189.006327416,167.413694876,215.874355064,161.481243849,215.478400516
New York,210.619003086,234.001561962,,NY,N.Y.,232.167118369,207.631187207,207.593234561,237.277858628,,180.32323853,225.8037662,188.585477882,228.107758849
North Carolina,211.427720618,236.112169851,239.100452415,NC,N.C.,234.697936459,210.762209624,210.719276063,240.222103224,,179.650356576,226.34616874,186.584042992,230.216610054
North Dakota,207.880461395,228.429654825,,ND,N.D.,225.452693757,204.956286146,208.409281183,,199.964532463,,222.424868742,179.646758656,227.434739218
Ohio,212.699908649,239.244520212,,OH,Ohio,230.794174771,202.641088716,216.094068375,243.06669452,,213.604115138,225.723245554,188.58900745,231.389409025
Oklahoma,209.092095749,232.165154991,,OK,Okla.,221.242905854,203.380580125,209.278458215,,212.862070702,189.92236599,219.039475619,179.585737412,223.988883622
Oregon,207.084608164,236.43606355,,OR,Ore.,224.446938125,,199.720481234,229.671072157,,180.560315755,224.42051084,182.363474252,222.909561181
Pennsylvania,209.908181744,239.062230973,,PA,Pa.,232.333861544,203.452238954,201.685899262,246.86725296,,174.096588151,226.925439518,194.046259765,230.439604335
Rhode Island,209.365061477,238.361156077,,RI,R.I.,232.997748265,205.625152821,208.366811714,229.107505205,,177.060446319,227.148011782,177.972535616,230.355464892
South Carolina,202.021199991,232.885253481,207.846528566,SC,S.C.,225.129599324,196.135506752,205.349776279,,,196.410855629,214.63314349,167.425896974,220.431401444
South Dakota,208.267536619,231.70890859,,SD,S.D.,227.994485238,,209.655668125,,195.862469152,,222.720900339,188.561027958,227.691442794
Tennessee,206.232502335,231.350639184,,TN,Tenn.,227.377075323,201.455070314,205.289398731,,,178.806257813,221.27041993,181.948548908,223.769762717
Texas,204.836016495,230.829534952,,TX,Texas,230.783661645,210.049994762,206.029531411,238.092508121,,194.091711449,221.688742447,185.938253054,219.156515971
Utah,209.456227045,235.162982875,,UT,Utah,231.416035042,,200.41552869,,,179.040249384,229.342362018,185.300079866,231.011769483
Vermont,211.052645454,236.794445849,,VT,Vt.,227.908486375,,,,,,227.131392285,179.555397355,235.878222857
Virginia,212.552616672,238.447580694,,VA,Va.,237.190336328,210.360795331,214.134014315,244.362643254,,186.83205725,231.325302179,191.132066858,232.587485259
Washington,205.433265504,236.987510204,,WA,Wash.,232.623561946,203.032502601,203.991071013,230.164239675,,181.446850992,229.469230632,180.794423683,228.971003139
West Virginia,214.810853943,233.087520146,,WV,W.Va.,217.865207476,201.240312916,,,,,217.343065826,185.18031345,225.419588267
Wisconsin,202.892771755,231.412760471,229.342017797,WI,Wis.,226.432129083,193.824085204,200.970731753,218.70167057,,191.082905383,221.925118668,177.649124544,226.260575133
Wyoming,215.009440859,235.340337284,,WY,Wyo.,230.417021039,,210.130929353,,206.404748484,178.144301547,228.249205912,188.891111898,233.01630521
District of Columbia,203.757469711,248.891200303,,DC,D.C.,256.265815414,206.795405327,204.447692524,,,172.44745172,216.666276123,177.454179851,219.372330359
