state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Nation,208.190520846,235.932439868,235.200538414,US,U.S.,231.810360781,206.245938045,208.665997441,238.892975476,201.932870185,188.737556963,225.936863256,186.62373569,227.017773524
Alabama,207.068512295,235.994040498,,AL,Ala.,,,,,,,217.863923591,173.844291173,221.689864933
Alaska,189.816006668,223.638007179,,AK,Alaska,,,,,,151.140494762,216.229018989,159.408882646,214.712438387
Arizona,202.696744346,237.134271297,232.299178008,AZ,Ariz.,231.534562346,205.517037437,204.244811683,240.348032643,186.356781045,170.932244025,220.604909203,182.598316803,219.330648405
Arkansas,208.555427883,231.937639827,,AR,Ark.,223.542742502,198.254830234,210.392930375,207.718949003,,199.356381386,217.949248277,171.090646985,223.546096072
California,202.830139877,235.481578341,221.296075713,CA,Calif.,231.359000715,198.69272056,204.240299526,242.152782677,,187.417018191,225.328262087,175.003422164,219.95871424
Colorado,208.374269062,237.516222239,229.361485162,CO,Colo.,235.40508282,206.314381444,209.278876029,236.105684796,,189.369014672,230.59912806,177.634151829,230.521339078
Connecticut,211.196323052,239.721442487,,CT,Conn.,237.815505524,209.524478551,213.021804687,248.179690621,,193.696594606,231.195754442,191.560044372,234.352580631
Delaware,210.41954997,229.450145811,,DE,Del.,232.619479518,209.387655149,209.268548321,249.895218874,,193.632957942,224.38717653,183.450456687,229.367767165
Florida,219.277085233,242.659709707,,FL,Fla.,238.500971561,212.366361415,224.93375606,249.119987041,,191.522925839,231.555973052,205.615661881,232.440338171
Georgia,208.588128208,240.675480645,,GA,Ga.,230.771208207,206.262400937,213.548534479,247.539153368,,189.975049477,221.098732885,176.63435794,225.476315584
Hawaii,202.75516865,229.013469811,,HI,Hawaii,233.450735038,,212.130004955,212.073203352,,166.733489528,219.409996491,168.146273532,220.708776608
Idaho,210.83187075,234.02361463,226.731302431,ID,Idaho,227.752770816,,204.965846761,,,173.515504539,225.89508838,172.831008668,228.331077086
Illinois,206.216576056,235.439863455,,IL,Ill.,231.803870118,199.485411788,209.102286562,243.865529183,,186.237570364,224.560075342,181.620152775,226.61219037
Indiana,215.028333533,238.183260275,,IN,Ind.,231.064569116,209.978061347,214.273933321,,,199.777144792,228.046750236,194.146580614,232.446259145
Iowa,205.758276975,233.38908577,,IA,Iowa,227.02445613,188.26697,204.624207552,,,184.082617693,224.077314864,176.19306649,229.221377612
Kansas,212.041509944,234.103680048,,KS,Kan.,227.774241606,202.289506393,215.939131844,235.621452215,,208.119456112,225.446384797,182.190628579,229.462199302
Kentucky,214.737954801,236.909259486,,KY,Ky.,227.449206129,203.944234037,215.958778682,228.124137151,,184.296992254,225.251637859,195.842817318,228.399130157
Louisiana,203.516334479,233.648882465,195.405543638,LA,La.,225.499203766,197.761191911,208.222818191,,,191.181497386,212.547665486,180.422309912,217.880378156
Maine,207.212334191,233.664716197,,ME,Maine,223.098647547,191.797158738,,,,176.520741072,223.087062886,183.693710124,230.087178937
Maryland,209.856066457,238.067465805,200.762728329,MD,Md.,239.2904767,212.480909649,209.412096504,245.271235548,,190.809403843,228.802818714,187.537835751,230.016447092
Massachusetts,219.300933045,243.236165667,,MA,Mass.,243.062378756,218.942022025,216.628302808,247.142994806,,200.709995878,239.244064584,208.951279613,241.588879218
Michigan,203.40148096,230.981419726,,MI,Mich.,223.565851366,196.631119663,205.526113907,237.255897887,,193.149886753,219.936480731,175.908572991,222.707150834
