state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Massachusetts,,320.312440988434,275.069288349352,272.875531452259,,304.287610575676,280.023870924644,,307.612399249649,Mass.,MA
Michigan,,309.959760297848,249.87871057915,273.750960463173,,285.772512193025,265.587853142633,,290.742467968498,Mich.,MI
Minnesota,262.908734409911,281.922268102857,266.371236459609,269.888924977477,,301.614611590699,276.238401325097,,303.576575531644,Minn.,MN
Mississippi,,,254.684692345323,272.66767566112,,283.323452791972,260.31443057248,,288.075636263573,Miss.,MS
Missouri,,,254.414560916682,267.23365086394,,287.563920472754,268.649405437937,,291.816488221639,Mo.,MO
Montana,263.643475153062,,,285.094174909132,,296.684435173658,279.999009323242,,300.757683262762,Mont.,MT
Nation,265.977580425002,302.194054576781,261.840768912436,269.45379200122,286.379745022367,292.567394799431,269.00585082592,274.658539302649,295.403462866343,U.S.,US
Nebraska,,,254.545792698728,261.093144938009,280.500865405153,289.792210934862,268.67182378353,,292.554027983324,Neb.,NE
Nevada,,287.090854228053,259.079041007728,266.27599886261,282.316083069372,292.131142983885,267.296804846044,,287.821730639174,Nev.,NV
New Hampshire,,303.418023301224,,265.72828891781,,293.250033453426,276.102828088904,,296.940048004781,N.H.,NH
New Jersey,,317.7987341183,271.524522541883,274.224317468112,,304.262028663252,273.85246982641,,302.910862727135,N.J.,NJ
New Mexico,257.729182386253,,265.406020519691,269.419645488896,,289.822528350633,266.677241337766,,288.132044653436,N.M.,NM
New York,,302.407832727393,264.294014600293,262.803366029756,,290.572275724099,268.974474474235,,292.547313199975,N.Y.,NY
North Carolina,265.247094376004,314.193246497612,267.106130772724,275.086013002976,292.20852885032,296.105793384783,273.463290772327,,299.526417690456,N.C.,NC
North Dakota,264.084230709814,,,,,296.166993569804,277.815859120286,,298.492390310431,N.D.,ND
Ohio,,,262.537834809968,273.422082852359,283.926022371676,295.207482266214,274.340628489424,,299.223462970188,Ohio,OH
Oklahoma,272.611510339999,303.95799727163,262.460436888494,264.021755272452,,286.498719686201,269.839211403418,,289.463675034765,Okla.,OK
Oregon,260.014669495394,297.369883771624,263.452530659496,267.648044303426,282.274429380323,287.432837681632,270.919185649168,,294.609669060773,Ore.,OR
Pennsylvania,,310.308627154015,257.077446303912,268.923220017257,,294.417392542222,267.99414883577,,298.259250690809,Pa.,PA
Rhode Island,,286.675348215894,256.44873448675,261.265851303683,285.975030881204,291.7199569571,266.596011428553,,294.729491694935,R.I.,RI
South Carolina,,,262.953898870206,272.588746797992,,292.686948808933,268.309894928376,,294.564992526764,S.C.,SC
South Dakota,263.080443300521,,269.799888381299,274.007174054094,,295.445176820218,276.776723289131,,298.259907051999,S.D.,SD
Tennessee,,,252.246663797923,265.709204878662,,280.579603447479,262.161755774835,,287.264920253091,Tenn.,TN
Texas,,316.132071213514,276.908559796574,283.205238067556,304.566224222053,303.546072206708,280.720690427378,,304.165081529174,Texas,TX
Utah,243.644927461191,283.870900190455,,256.805580285677,,289.474929723099,269.092457257013,,291.094630675237,Utah,UT
Vermont,,,,,,294.548833890532,277.409915837107,,302.377584772205,Vt.,VT
Virginia,,312.582154182295,268.133479974432,278.572863324285,289.936750804892,296.838200210083,270.182623672701,,298.306924968238,Va.,VA
Washington,256.342210129067,302.197370342521,264.507524746414,269.019611108653,292.473040376204,293.933291782475,272.734142229196,,298.529060269647,Wash.,WA
West Virginia,,,259.876101527512,,,273.999641566133,263.733794259094,,281.55632824877,W.Va.,WV
Wisconsin,,289.786120897761,255.630112249721,269.673958567334,,294.874463675969,269.150952464508,,298.795497188531,Wis.,WI
Wyoming,,,,271.261027770896,,291.283074098267,277.197423250562,,293.468431243184,Wyo.,WY
