state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,249.815713087452,255.018179444705,,280.127026610415,255.986914456805,,283.87058553084,Ala.,AL
Alaska,257.902392879289,282.223817790274,272.919336512105,276.918873895688,281.433151803481,295.889566059848,268.575147228528,,294.07955570465,Alaska,AK
Arizona,253.056589212314,302.297249447946,268.985667949595,265.887519441124,,293.885239741333,267.433735083374,283.526687385332,291.616499123009,Ariz.,AZ
Arkansas,,,256.748281443882,272.183577305841,,287.15377494566,269.262649313391,,291.953956325225,Ark.,AR
California,,298.262502732496,253.630714591574,259.532476816774,,289.969211508495,259.910883057603,268.64691187458,288.499141498858,Calif.,CA
Colorado,,312.78136627512,269.928048912387,270.874962182335,304.241004213606,301.917510261703,272.765341360493,,303.068823210997,Colo.,CO
Connecticut,,307.141669217508,262.038694591374,262.481862125516,,296.792791431511,264.349177903633,,298.049598030578,Conn.,CT
Delaware,,311.180496951425,265.605537272765,274.226153512752,,293.567281910901,269.657389106129,,292.698825317756,Del.,DE
District of Columbia,,,256.088912684272,260.616101555669,,318.595139633182,253.249741202826,,278.26571537924,D.C.,DC
DoDEA,,289.768608013847,274.004986007069,281.598206688277,285.767865730308,295.084079505916,,,,,
Florida,,311.5915414923,258.478503835841,273.767654091749,283.476308329266,287.408808313357,266.932436730125,,291.232751267741,Fla.,FL
Georgia,,302.055883885049,262.108412995519,277.222400423429,275.090466657451,290.879872276743,267.285908063747,,293.134935107709,Ga.,GA
Hawaii,,276.725807242779,277.311110998837,262.64161820486,276.426481029011,290.036491208616,267.949202112651,,286.118232295888,Hawaii,HI
Idaho,,,,267.282582357433,,290.888523583541,275.594867032044,,295.421980019652,Idaho,ID
Illinois,,313.590186893999,260.46832654112,271.668972405981,280.847034664667,293.875914636885,269.268678850432,,296.0302073847,Ill.,IL
Indiana,,,263.739750407953,274.972202493539,281.847928909159,289.809591402584,273.253436708403,,294.207632673925,Ind.,IN
Iowa,,291.143169808545,257.730780475367,268.662668187128,,288.178185004093,270.617891266721,,293.499708837349,Iowa,IA
Kansas,,300.25051841808,268.921200207676,274.189437672227,279.881473534287,295.113317921476,276.458505913845,,299.991823247729,Kan.,KS
Kentucky,,,260.661539633965,268.888764856491,,284.476731518488,270.501386413187,,293.74120727526,Ky.,KY
Louisiana,,,258.851895584948,268.90978761072,,282.504015715106,264.569589934639,,286.322641618046,La.,LA
Maine,,,264.902469302328,,,289.761010932435,276.317880437143,,297.577664474617,Maine,ME
Maryland,,311.21713578253,267.170442681505,272.954212875369,295.920253014557,303.214440697852,266.436462354915,,298.849061390605,Md.,MD
