state,eligible,not eligible,information not available,postal,ap_abbr
Nation,208.190520846,235.932439868,235.200538414,US,U.S.
Alabama,207.068512295,235.994040498,,AL,Ala.
Alaska,189.816006668,223.638007179,,AK,Alaska
Arizona,202.696744346,237.134271297,232.299178008,AZ,Ariz.
Arkansas,208.555427883,231.937639827,,AR,Ark.
California,202.830139877,235.481578341,221.296075713,CA,Calif.
Colorado,208.374269062,237.516222239,229.361485162,CO,Colo.
Connecticut,211.196323052,239.721442487,,CT,Conn.
Delaware,210.41954997,229.450145811,,DE,Del.
Florida,219.277085233,242.659709707,,FL,Fla.
Georgia,208.588128208,240.675480645,,GA,Ga.
Hawaii,202.75516865,229.013469811,,HI,Hawaii
Idaho,210.83187075,234.02361463,226.731302431,ID,Idaho
Illinois,206.216576056,235.439863455,,IL,Ill.
Indiana,215.028333533,238.183260275,,IN,Ind.
Iowa,205.758276975,233.38908577,,IA,Iowa
Kansas,212.041509944,234.103680048,,KS,Kan.
Kentucky,214.737954801,236.909259486,,KY,Ky.
Louisiana,203.516334479,233.648882465,195.405543638,LA,La.
Maine,207.212334191,233.664716197,,ME,Maine
Maryland,209.856066457,238.067465805,200.762728329,MD,Md.
Massachusetts,219.300933045,243.236165667,,MA,Mass.
Michigan,203.40148096,230.981419726,,MI,Mich.
Minnesota,207.095095209,236.030458017,,MN,Minn.
Mississippi,208.469497232,240.263318891,,MS,Miss.
Missouri,210.55772002,236.662438317,,MO,Mo.
Montana,210.337504861,234.378256877,,MT,Mont.
Nebraska,209.439196485,236.611928484,,NE,Neb.
Nevada,205.540835577,235.359557746,,NV,Nev.
New Hampshire,211.782263876,236.342076368,,NH,N.H.
New Jersey,214.349982993,243.352802649,,NJ,N.J.
New Mexico,200.317225358,232.37324565,,NM,N.M.
New York,210.619003086,234.001561962,,NY,N.Y.
North Carolina,211.427720618,236.112169851,239.100452415,NC,N.C.
North Dakota,207.880461395,228.429654825,,ND,N.D.
Ohio,212.699908649,239.244520212,,OH,Ohio
Oklahoma,209.092095749,232.165154991,,OK,Okla.
Oregon,207.084608164,236.43606355,,OR,Ore.
Pennsylvania,209.908181744,239.062230973,,PA,Pa.
Rhode Island,209.365061477,238.361156077,,RI,R.I.
South Carolina,202.021199991,232.885253481,207.846528566,SC,S.C.
South Dakota,208.267536619,231.70890859,,SD,S.D.
Tennessee,206.232502335,231.350639184,,TN,Tenn.
Texas,204.836016495,230.829534952,,TX,Texas
Utah,209.456227045,235.162982875,,UT,Utah
Vermont,211.052645454,236.794445849,,VT,Vt.
Virginia,212.552616672,238.447580694,,VA,Va.
Washington,205.433265504,236.987510204,,WA,Wash.
West Virginia,214.810853943,233.087520146,,WV,W.Va.
Wisconsin,202.892771755,231.412760471,229.342017797,WI,Wis.
Wyoming,215.009440859,235.340337284,,WY,Wyo.
District of Columbia,203.757469711,248.891200303,,DC,D.C.
