state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,241.158306514355,243.224533365062,,268.110400045081,Ala.,AL
Alaska,233.823811932908,254.403622127636,245.627594722686,262.132680582941,260.092160462093,269.728018919684,Alaska,AK
Arizona,254.041379315884,277.038011251778,253.996618946073,253.700422417238,,273.965461726974,Ariz.,AZ
Arkansas,,,241.119789423643,254.969598901886,,266.02242890736,Ark.,AR
California,,280.97892363966,249.955878506057,251.243016769042,279.611466481017,278.111781779926,Calif.,CA
Colorado,,281.548378744711,250.437032249263,256.969571467343,278.966986269452,278.743003720455,Colo.,CO
Connecticut,,288.3860253699,249.474527134844,252.890380690297,280.981543091037,282.836132944953,Conn.,CT
Delaware,,289.236605040057,248.364988573526,253.660702073182,,273.053860278072,Del.,DE
District of Columbia,,,239.610398854447,241.500302614293,,299.919091722194,D.C.,DC
DoDEA,,283.070776609825,267.740764130369,277.412771581385,285.378909192547,283.99641751036,,
Florida,,288.888547094226,253.515152613606,262.41802128471,272.991656512079,274.469724027859,Fla.,FL
Georgia,,290.662379370527,254.55846386041,259.707708273552,269.878476070046,276.129888339942,Ga.,GA
Hawaii,,257.766545340552,,264.63847953803,271.548180716991,270.925942201044,Hawaii,HI
Idaho,,,,254.668464326104,,273.420458591853,Idaho,ID
Illinois,,292.266742037206,245.640232999341,258.361826981483,279.068184070525,274.845216894424,Ill.,IL
Indiana,,278.916816934329,255.114815465515,265.436781489826,266.404305949648,275.124733601402,Ind.,IN
Iowa,,268.368223437328,242.514978316414,258.305303650419,271.823349153244,270.424532786445,Iowa,IA
Kansas,,283.114684031424,245.739545809933,257.193540967423,260.241238982598,272.94982606998,Kan.,KS
Kentucky,,287.663884740442,246.352208883218,261.346404014637,262.161563089833,267.563467433154,Ky.,KY
Louisiana,,,242.270719309462,253.354544940023,,269.481859464415,La.,LA
Maine,,,235.178610810302,,,269.742601646432,Maine,ME
Maryland,,293.026310470275,251.016100247698,254.746194129974,273.974963425605,280.374499157159,Md.,MD
Massachusetts,,291.659804427708,258.010029063115,258.628314226683,290.988159627278,282.851730943925,Mass.,MA
Michigan,,279.57485188874,245.350657979865,259.057815212183,265.919458452551,269.530487143057,Mich.,MI
Minnesota,,265.175567958263,244.899774923124,252.235399526191,269.875692830746,274.628842095745,Minn.,MN
Mississippi,,,241.959305959945,252.906782916483,,271.298370508236,Miss.,MS
Missouri,,,249.657370895114,257.435445055971,270.699892120392,270.128699118985,Mo.,MO
Montana,246.486414159934,,,259.395832841708,260.931417884806,270.451356089587,Mont.,MT
Nation,252.70538137598,281.186351066544,248.374186661862,254.59896064282,270.387842790646,273.753889761968,U.S.,US
Nebraska,,,245.092643472283,254.115738977986,259.908891472153,275.31607136547,Neb.,NE
Nevada,,270.866288861414,246.010219683521,253.296441463673,265.717318131991,269.783745210499,Nev.,NV
New Hampshire,,277.147888719848,,261.056866598682,,275.995550603963,N.H.,NH
New Jersey,,297.954405620951,256.956763464705,258.760783768772,,285.009478585694,N.J.,NJ
New Mexico,241.791635351712,,,251.263093858783,,271.416249606988,N.M.,NM
New York,,275.977648425885,251.268992013752,252.806517710244,,271.683442115847,N.Y.,NY
North Carolina,,281.118609405377,247.87993662676,254.985539410333,258.214405886946,271.979102366771,N.C.,NC
North Dakota,246.197524781199,,251.759608962458,259.312056298724,,268.635112279536,N.D.,ND
Ohio,,279.480654930669,243.994853410366,259.608889440091,263.881131298146,274.378098841755,Ohio,OH
Oklahoma,257.527736820446,,246.56802857421,254.83147697425,267.21059151816,265.638272467286,Okla.,OK
Oregon,,271.962448684539,,249.950010729805,273.541525253811,272.653606496853,Ore.,OR
Pennsylvania,,288.247738437018,249.57167406149,244.802668852284,264.641845996001,275.9813350507,Pa.,PA
Rhode Island,,268.819224955607,247.918261195494,247.164732170737,,275.480457634667,R.I.,RI
South Carolina,,,240.898981925334,255.984934173742,267.05571421328,271.71742402162,S.C.,SC
South Dakota,245.741255982686,,,255.13645715458,,271.436674075517,S.D.,SD
Tennessee,,,242.986328274171,250.919280677837,260.815133223218,269.012961841752,Tenn.,TN
Texas,,286.977401085938,247.19338230091,254.3983060448,268.377263465925,270.811325820481,Texas,TX
Utah,,265.936927707808,,251.510941602259,,273.610092649666,Utah,UT
Vermont,,,,,271.362226432519,274.403313509251,Vt.,VT
Virginia,,284.013134958596,250.617118050473,259.438001807764,271.965946110532,274.619548123958,Va.,VA
Washington,,280.288622062863,255.173337946879,257.648836684032,276.822217349664,276.240309769094,Wash.,WA
West Virginia,,,245.343894290628,,,259.340885989406,W.Va.,WV
Wisconsin,,273.454956551602,238.647582183484,255.207589125891,,274.894140574891,Wis.,WI
Wyoming,251.170711985885,,,260.700030021168,,271.694448819151,Wyo.,WY
