state,eligible,not eligible,information not available,postal,ap_abbr
Nation,266.952675483,296.345338979,295.775224405,US,U.S.
Alabama,257.564725808,285.930534751,,AL,Ala.
Alaska,261.513992689,290.549181648,,AK,Alaska
Arizona,269.595342621,293.048748012,308.994568285,AZ,Ariz.
Arkansas,263.254877364,290.538597138,,AR,Ark.
California,261.564882594,295.616792546,,CA,Calif.
Colorado,267.769438742,298.605147462,,CO,Colo.
Connecticut,263.649125429,295.080217039,,CT,Conn.
Delaware,265.327009894,283.666862458,,DE,Del.
Florida,268.728139163,292.971905442,,FL,Fla.
Georgia,267.449822515,298.953882563,296.408487284,GA,Ga.
Hawaii,267.958105764,285.119350527,,HI,Hawaii
Idaho,270.323790807,294.115424049,298.589961179,ID,Idaho
Illinois,266.635290496,295.747479487,,IL,Ill.
Indiana,273.110985572,299.201114709,,IN,Ind.
Iowa,269.85803976,295.905488629,,IA,Iowa
Kansas,270.481405119,298.432240012,,KS,Kan.
Kentucky,265.339402395,293.018568001,,KY,Ky.
Louisiana,258.358710046,284.894078188,250.901479198,LA,La.
Maine,269.484513178,294.21011279,,ME,Maine
Maryland,261.130814023,295.361495315,,MD,Md.
Massachusetts,278.142909467,304.56407569,,MA,Mass.
Michigan,261.191678436,292.428164694,,MI,Mich.
Minnesota,273.770128898,304.775712938,,MN,Minn.
Mississippi,263.921575265,289.403585855,,MS,Miss.
Missouri,267.6536514,291.810423154,,MO,Mo.
Montana,274.023697591,294.330226649,,MT,Mont.
Nebraska,272.237576832,300.323664306,,NE,Neb.
Nevada,263.514261816,292.392220423,,NV,Nev.
New Hampshire,273.202455811,299.871338178,,NH,N.H.
New Jersey,269.499662299,303.739179385,,NJ,N.J.
New Mexico,263.074210239,287.64018031,,NM,N.M.
New York,268.567248945,294.094817419,,NY,N.Y.
North Carolina,265.036788505,296.650144595,299.613401485,NC,N.C.
North Dakota,269.165527833,296.424329774,,ND,N.D.
Ohio,266.976488324,303.004273197,,OH,Ohio
Oklahoma,264.886447855,288.211538264,,OK,Okla.
Oregon,271.431710424,298.657595466,,OR,Ore.
Pennsylvania,269.238984202,300.618251681,,PA,Pa.
Rhode Island,260.076182834,292.59793911,,RI,R.I.
South Carolina,262.797677867,290.369531155,,SC,S.C.
South Dakota,269.046590439,295.968720844,,SD,S.D.
Tennessee,268.008208187,288.070093315,,TN,Tenn.
Texas,270.909381595,297.422271917,294.460907593,TX,Texas
Utah,270.12880993,296.23655947,,UT,Utah
Vermont,271.552908974,296.450077044,,VT,Vt.
Virginia,271.577904877,300.92751824,,VA,Va.
Washington,271.801166683,301.023411718,,WA,Wash.
West Virginia,268.30582306,288.505474133,,WV,W.Va.
Wisconsin,267.889831357,299.671608442,285.233293616,WI,Wis.
Wyoming,276.279514585,296.348134931,,WY,Wyo.
District of Columbia,254.241758346,303.264204541,,DC,D.C.
