state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Maryland,224.905953011,255.090970623,218.749641928,MD,Md.,254.272153747,226.376617407,228.878698448,263.554057763,,214.341712263,243.647522109,207.497287724,245.309467869
Massachusetts,232.495756299,256.90499713,,MA,Mass.,255.106641991,229.13656055,234.161609553,262.342156241,,221.576575964,252.02681429,225.446134836,254.407451024
Michigan,221.808765401,248.744022828,,MI,Mich.,241.658945428,211.099966131,222.843862457,261.24927411,,220.471217808,236.853075747,207.559867112,238.851385265
Minnesota,230.598383369,260.030030396,,MN,Minn.,256.073211141,222.462656208,228.852097953,246.077428308,,211.753881006,252.362566161,228.173803525,251.758386733
Mississippi,229.293010583,254.383833442,,MS,Miss.,246.35011656,224.206371305,238.639044731,,,,234.829174298,215.291161057,237.553825489
Missouri,228.104814832,252.396202664,,MO,Mo.,245.021852605,216.172737027,227.476676974,,,215.115135684,240.412918215,215.694514777,243.536144866
Montana,232.291289363,249.563405114,,MT,Mont.,245.087393036,,229.976830878,,216.41345531,203.606343555,241.89617797,211.548695452,244.783692594
Nebraska,234.12601751,256.066266142,,NE,Neb.,252.151056151,219.920767303,233.339654404,255.781432509,,220.94417878,247.881977203,221.424375632,250.117794815
Nevada,224.589648351,247.179518442,,NV,Nev.,241.075401066,216.143041131,225.258529328,251.597079542,,206.349322649,237.164261073,202.360197705,235.366879775
New Hampshire,230.723727217,251.715159564,,NH,N.H.,246.143178247,,226.982149266,261.167069682,,226.919021179,245.970453768,218.443646982,250.916891652
New Jersey,231.156532673,257.778493381,,NJ,N.J.,255.367958596,228.138721606,235.605267634,271.250033575,,217.628897876,249.007767819,223.989174605,252.475907852
New Mexico,224.109693654,248.118425885,,NM,N.M.,244.497353761,,225.724566141,,217.522213416,205.287010952,234.639405439,201.747022038,234.470403206
New York,226.04147971,246.186075506,,NY,N.Y.,243.721248604,224.465464251,223.431305857,251.657120137,,200.99188304,238.898121504,209.039201616,240.574720632
North Carolina,231.57243973,251.662148922,239.467872381,NC,N.C.,250.715930572,224.427535438,234.822578216,258.201895767,,209.742016355,242.533383693,211.675825786,245.894488188
North Dakota,232.6036746,250.38822513,,ND,N.D.,248.084496713,229.419292044,230.516532073,,224.836211955,,244.98666524,215.685366765,248.448931154
Ohio,228.232548042,254.317162349,,OH,Ohio,246.235418842,219.841301356,229.098786647,262.801260779,,226.128321275,241.506826117,211.649140203,245.781948852
Oklahoma,231.48644502,249.07778999,,OK,Okla.,243.636179778,217.543779617,229.734633661,,233.013077474,213.696976331,239.495593886,216.997921195,241.424351654
Oregon,223.652578061,249.545837096,,OR,Ore.,238.776573426,,218.468689237,245.7318018,,203.92405662,238.57314243,205.648896458,237.262619888
Pennsylvania,227.792152748,256.092083909,,PA,Pa.,250.047651914,216.083473935,220.851528664,266.245653035,,203.182060441,243.287393345,218.171180875,245.993173515
Rhode Island,225.346367422,250.057986183,,RI,R.I.,244.856524806,225.094532719,224.24356771,254.874821409,,200.371087473,240.53088904,202.881109686,243.001505039
South Carolina,226.270438997,248.266290161,224.093508783,SC,S.C.,244.784735227,219.197372284,230.255844285,,,224.858719604,234.85436793,203.66311567,238.919228543
South Dakota,229.573385608,250.328523284,,SD,S.D.,247.397510969,218.992247019,228.911819802,,220.114481845,,242.472538592,217.820294689,245.952416432
Tennessee,227.105411538,246.749931295,,TN,Tenn.,243.543546333,221.671424453,225.547953051,,,207.60017553,238.18996634,210.598400476,240.179612204
Texas,232.380799399,254.513633064,,TX,Texas,252.645461095,228.54785637,235.844255645,264.856898619,,229.884813514,244.63736591,218.818996115,244.212812331
Utah,230.308763544,250.195418554,,UT,Utah,246.925329463,,226.171928844,231.493804426,,210.468214815,245.448718154,213.431201945,246.649115013
Vermont,228.530301633,249.379791189,,VT,Vt.,241.32045608,226.186924054,,,,,241.552961408,207.013982784,247.855685942
Virginia,233.510378177,257.434929207,,VA,Va.,257.640387024,230.991258725,234.958751907,263.865146166,,215.13647402,251.32060512,224.22069845,251.252583097
Washington,228.388158436,252.287600435,,WA,Wash.,247.82839339,227.813754456,226.031920885,253.53375991,,212.498746461,246.320191055,213.486935044,245.364969888
West Virginia,233.837592124,249.391806795,,WV,W.Va.,236.575885107,226.078809791,,,,,236.043369315,212.380919178,242.016070964
Wisconsin,225.372608578,250.810014236,248.310867076,WI,Wis.,246.814019357,210.960045724,225.039414673,242.158317949,,218.662861163,242.244783565,213.524363143,244.516292142
Wyoming,238.984074341,254.059305138,,WY,Wyo.,250.395009257,,237.277141345,,220.878858779,214.23098425,248.69400698,222.146539719,251.977972986
District of Columbia,222.917072008,260.822327494,,DC,D.C.,271.92187065,223.576611438,230.175453849,,,207.634692498,233.288442686,200.443960183,236.699489508
