state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Nation,228.005048586,252.418508608,246.908998659,US,U.S.,248.241466981,222.998608189,229.360900364,257.902401841,227.28043425,216.512231289,242.566839516,213.956579549,243.44554212
Alabama,224.776022103,247.248782805,,AL,Ala.,241.837115208,218.72344227,217.794825457,,,196.7519212,233.420100803,203.310699731,235.931654626
Alaska,218.728109148,242.082479794,,AK,Alaska,243.717500995,222.578071069,224.391767707,227.027744503,207.875412763,198.409912819,235.712535042,199.399892808,235.477960165
Arizona,224.214263739,250.672344469,250.449673116,AZ,Ariz.,247.166537546,215.947400909,225.908444951,252.980796305,223.461737079,203.964430414,237.957583189,207.635963896,237.497016838
Arkansas,226.62541475,247.625031031,,AR,Ark.,240.277273144,214.300828076,230.351370988,235.857333147,,221.352094721,235.252463306,208.665163495,238.074173537
California,221.479751228,250.458031427,232.909611793,CA,Calif.,245.352838071,217.529701734,222.52499164,258.006046163,,211.095524462,239.676219974,201.88185837,235.511438503
Colorado,226.333067083,252.125764404,244.727267162,CO,Colo.,250.269303511,222.682144089,226.243074012,250.445475065,,212.022711236,245.521600445,206.678898048,244.861110126
Connecticut,224.420695023,249.455274754,,CT,Conn.,248.635147732,222.160905872,222.919608115,258.210844833,,208.42509963,241.891743152,211.534185654,243.731862312
Delaware,224.788192834,245.485281195,,DE,Del.,246.230905243,222.385157326,228.813919224,266.201712926,,216.091256165,238.197827373,207.732279014,242.022449118
Florida,239.041845002,257.334990539,,FL,Fla.,255.111934166,233.337960287,241.558206741,266.644579534,,223.43034787,248.405566357,230.096784101,249.400429494
Georgia,225.77164394,255.310178224,,GA,Ga.,247.009038285,223.287426332,228.454112594,272.188009091,,207.566719285,237.775946382,210.422449583,240.163276981
Hawaii,228.351997421,246.708866419,,HI,Hawaii,248.144836069,,232.454367492,236.347680221,,204.990324605,239.705162015,202.576063455,241.117118
Idaho,231.189489023,249.473797631,242.538825851,ID,Idaho,244.348480442,,221.533921536,,,204.800689639,242.126076055,210.197809634,243.446464484
Illinois,223.720750886,253.098006864,,IL,Ill.,249.033325321,217.015340839,226.636858363,263.121381527,,209.210445849,241.704621811,209.395367075,242.825425579
Indiana,235.451543882,257.832438106,,IN,Ind.,251.229600312,225.81263834,233.882787103,,,230.837044813,247.508773282,219.648670948,251.504904001
Iowa,229.730477632,253.879085834,,IA,Iowa,247.38629889,214.913399743,231.285914268,,,214.969049528,244.733755255,209.445724694,248.531070684
Kansas,230.735667818,251.588905749,,KS,Kan.,245.635169095,222.54150792,232.649506914,249.274699459,,228.794481797,242.999086748,215.055916271,245.333444272
Kentucky,230.399336706,251.616137884,,KY,Ky.,242.841399274,217.527955454,229.579189873,263.925990956,,215.492570034,239.921232719,216.038602767,243.127923058
Louisiana,222.982519432,245.474741579,222.469075308,LA,La.,242.279910078,215.83964263,223.72347218,,,214.050846682,229.744018709,204.073986392,234.02344443
Maine,228.199888538,249.84330416,,ME,Maine,241.208729842,216.275900494,,,,211.56805136,240.86256436,210.966543579,246.736605819
