year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,229.274873007,252.968662741,247.778692876,US,U.S.
2015,Alabama,222.576929169,243.968416976,,AL,Ala.
2015,Alaska,225.224819049,248.132417187,,AK,Alaska
2015,Arizona,228.442008582,251.811633914,255.061704701,AZ,Ariz.
2015,Arkansas,229.973382581,245.689483324,,AR,Ark.
2015,California,221.060716926,248.748187517,,CA,Calif.
2015,Colorado,228.200622707,254.007955071,,CO,Colo.
2015,Connecticut,222.964285802,250.593843116,,CT,Conn.
2015,Delaware,229.473722551,245.344470274,,DE,Del.
2015,District of Columbia,221.631478666,261.116523781,,DC,D.C.
2015,DoDEA,,,247.575135416,,
2015,Florida,235.212295722,254.333621529,,FL,Fla.
2015,Georgia,228.055330785,251.741740072,245.011179655,GA,Ga.
2015,Hawaii,228.649021036,249.317174879,,HI,Hawaii
2015,Idaho,230.079113196,248.611738444,,ID,Idaho
2015,Illinois,225.291176795,252.471855852,,IL,Ill.
2015,Indiana,239.018815877,257.518780227,,IN,Ind.
2015,Iowa,231.071321345,252.283372812,,IA,Iowa
2015,Kansas,231.025373323,253.141436881,,KS,Kan.
2015,Kentucky,233.793625467,254.5566235,,KY,Ky.
2015,Louisiana,228.320714999,247.411832061,,LA,La.
2015,Maine,232.753288551,251.08900981,,ME,Maine
2015,Maryland,224.612727594,252.538015338,,MD,Md.
2015,Massachusetts,235.709271954,261.416331672,,MA,Mass.
2015,Michigan,222.947819462,247.326482532,,MI,Mich.
2015,Minnesota,234.189534298,259.709125464,,MN,Minn.
2015,Mississippi,228.573535636,249.843401756,,MS,Miss.
2015,Missouri,229.581177591,250.305078325,,MO,Mo.
2015,Montana,231.362027168,249.858691172,,MT,Mont.
2015,Nebraska,231.433383086,254.366534334,,NE,Neb.
2015,Nevada,226.111933135,245.814495925,,NV,Nev.
2015,New Hampshire,235.728407607,254.684041368,,NH,N.H.
2015,New Jersey,230.493195673,255.663321544,262.25397791,NJ,N.J.
2015,New Mexico,226.340741614,245.057028657,,NM,N.M.
2015,New York,228.359441037,248.131071554,,NY,N.Y.
2015,North Carolina,234.084417495,258.42433063,,NC,N.C.
2015,North Dakota,232.051841348,251.015986405,,ND,N.D.
2015,Ohio,230.059024714,256.719553996,,OH,Ohio
2015,Oklahoma,232.469404113,251.609411632,,OK,Okla.
2015,Oregon,230.331763851,250.130895143,,OR,Ore.
2015,Pennsylvania,229.312056348,253.962593119,,PA,Pa.
2015,Rhode Island,225.652845658,249.025841021,,RI,R.I.
2015,South Carolina,228.585329181,251.582383627,,SC,S.C.
2015,South Dakota,228.679622699,248.244083278,,SD,S.D.
2015,Tennessee,232.091304308,252.253445371,,TN,Tenn.
2015,Texas,234.920206146,260.012673215,,TX,Texas
2015,Utah,230.672977262,249.100431868,,UT,Utah
2015,Vermont,231.565552746,251.811926927,,VT,Vt.
2015,Virginia,233.481538385,256.265530096,,VA,Va.
2015,Washington,231.601521141,259.029957673,,WA,Wash.
2015,West Virginia,230.413006707,248.561041928,,WV,W.Va.
2015,Wisconsin,229.089568643,253.707651287,,WI,Wis.
2015,Wyoming,237.42806517,253.252811649,,WY,Wyo.
