year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,268.022808401,295.836850044,294.090559854,US,U.S.
2015,Alabama,254.331218877,281.674490674,,AL,Ala.
2015,Alaska,266.153894742,293.552096448,,AK,Alaska
2015,Arizona,272.637427125,296.041120676,298.433550825,AZ,Ariz.
2015,Arkansas,265.854387971,289.295614446,,AR,Ark.
2015,California,263.743040324,292.80368301,293.807828893,CA,Calif.
2015,Colorado,268.453499198,299.70645011,,CO,Colo.
2015,Connecticut,261.184695752,296.148754527,,CT,Conn.
2015,Delaware,266.64740141,288.922596188,,DE,Del.
2015,District of Columbia,253.727752744,293.018454611,,DC,D.C.
2015,DoDEA,,,290.530736181,,
2015,Florida,265.677147893,291.960943404,,FL,Fla.
2015,Georgia,266.883073249,299.005984109,282.641604261,GA,Ga.
2015,Hawaii,269.471690364,289.97522352,,HI,Hawaii
2015,Idaho,272.013059713,293.345882862,,ID,Idaho
2015,Illinois,269.104032541,295.569810378,,IL,Ill.
2015,Indiana,274.166610366,298.120704082,,IN,Ind.
2015,Iowa,270.292080989,296.158451019,,IA,Iowa
2015,Kansas,271.767153551,294.856983699,,KS,Kan.
2015,Kentucky,267.701795032,290.932320716,,KY,Ky.
2015,Louisiana,260.335775475,283.837270998,,LA,La.
2015,Maine,272.336667808,294.361233561,,ME,Maine
2015,Maryland,264.367695227,295.905025511,,MD,Md.
2015,Massachusetts,278.710379313,310.880598114,,MA,Mass.
2015,Michigan,263.317630228,290.378591479,,MI,Mich.
2015,Minnesota,274.844609986,304.618631584,,MN,Minn.
2015,Mississippi,262.215163932,291.310294613,,MS,Miss.
2015,Missouri,266.417215763,293.159935632,,MO,Mo.
2015,Montana,275.558075318,295.515732778,,MT,Mont.
2015,Nebraska,270.342413826,297.592254742,,NE,Neb.
2015,Nevada,265.238371987,286.85235996,,NV,Nev.
2015,New Hampshire,275.177290753,300.300240208,,NH,N.H.
2015,New Jersey,270.101593152,304.691146768,,NJ,N.J.
2015,New Mexico,264.630544187,286.940391096,,NM,N.M.
2015,New York,270.875591855,292.112041351,,NY,N.Y.
2015,North Carolina,268.367940365,299.438298067,,NC,N.C.
2015,North Dakota,271.24844186,295.73716477,,ND,N.D.
2015,Ohio,269.677025012,298.576652088,,OH,Ohio
2015,Oklahoma,265.294715831,286.600401976,,OK,Okla.
2015,Oregon,271.433656635,297.286570326,,OR,Ore.
2015,Pennsylvania,266.754078039,298.554973236,,PA,Pa.
2015,Rhode Island,266.61744472,293.971901451,,RI,R.I.
2015,South Carolina,264.047801727,291.227123464,,SC,S.C.
2015,South Dakota,270.736658158,292.691929629,,SD,S.D.
2015,Tennessee,266.03815541,292.467817113,,TN,Tenn.
2015,Texas,273.69508017,296.140718938,,TX,Texas
2015,Utah,270.867855012,294.0812966,,UT,Utah
2015,Vermont,277.650975277,298.531079944,,VT,Vt.
2015,Virginia,269.676807337,299.053802161,,VA,Va.
2015,Washington,272.201551879,301.003878796,,WA,Wash.
2015,West Virginia,264.978633592,282.859320746,,WV,W.Va.
2015,Wisconsin,268.735501987,299.531109508,303.730704066,WI,Wis.
2015,Wyoming,273.661160502,294.047709348,,WY,Wyo.
