state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,242.831491519473,246.46452873771,,267.732613937728,Ala.,AL
Alaska,233.725523175724,261.296606289459,251.69498040322,260.01399893566,263.528789392009,273.512077251709,Alaska,AK
Arizona,240.807942679452,268.958776010516,248.084032017076,251.080804270498,,271.600264955128,Ariz.,AZ
Arkansas,,,237.828089637211,253.43228431825,,266.618118679064,Ark.,AR
California,,270.616946977411,242.838334136961,245.224908018073,,268.070219918183,Calif.,CA
Colorado,,284.529530481205,256.958886432165,254.250070304505,283.213659728515,278.255290742046,Colo.,CO
Connecticut,,282.037385295251,254.880772577865,254.573109943872,,283.114389134877,Conn.,CT
Delaware,,284.613242403119,254.248911651709,259.271643912458,,273.434942715007,Del.,DE
District of Columbia,,,238.533103167993,239.054087280572,,291.957934295055,D.C.,DC
DoDEA,,271.846606315651,263.221690073326,268.09085562988,273.204194958387,276.938196473087,,
Florida,,278.585309772087,247.599129971637,259.0550239805,264.793480953565,269.948610349488,Fla.,FL
Georgia,,277.431776412603,250.538830762088,257.648397878363,272.730817862718,271.648591877975,Ga.,GA
Hawaii,,254.837566430127,261.047224806405,246.415769012221,256.196231254258,272.86309120363,Hawaii,HI
Idaho,,,,253.862543824247,,270.828083295346,Idaho,ID
Illinois,,280.456814147348,249.425364725836,257.097514751859,262.756954536017,274.109625735168,Ill.,IL
Indiana,,,246.522063172584,255.374084655242,263.449642637631,268.930617623615,Ind.,IN
Iowa,,266.453250883568,246.526712705419,251.139433250777,,267.248674880523,Iowa,IA
Kansas,,269.462310110496,247.707018285154,254.197575520312,264.266504248197,272.272466916404,Kan.,KS
Kentucky,,,248.369977525675,263.593470478139,,271.492257221472,Ky.,KY
Louisiana,,,241.396015468138,248.834111059233,,264.206436634653,La.,LA
Maine,,,247.977584608145,,,270.609055019837,Maine,ME
Maryland,,293.712205584168,255.353811729621,261.715006992918,275.653664178872,281.726078667098,Md.,MD
Massachusetts,,288.139815552126,254.659618479269,247.913194614432,,281.838448465127,Mass.,MA
Michigan,,278.717136206376,244.134174695125,260.328388354232,,269.488913980033,Mich.,MI
Minnesota,258.065377385179,266.545777693093,246.272568377123,257.300253900693,,274.244778059281,Minn.,MN
Mississippi,,,240.408904270729,,,267.260996795833,Miss.,MS
Missouri,,,243.799374867762,257.742674197331,,271.245880055329,Mo.,MO
Montana,256.515233638631,,,262.232734277175,,275.13619860463,Mont.,MT
Nation,252.717840580025,274.721266292528,247.612736400441,251.305748238264,267.057657912141,272.298207646316,U.S.,US
Nebraska,,,250.100971760112,251.752359121139,,272.156179469682,Neb.,NE
Nevada,,264.451818128151,250.12566439093,247.196871968062,265.188333397687,269.474420456824,Nev.,NV
New Hampshire,,279.658375161239,,253.423436194506,,273.094458135288,N.H.,NH
New Jersey,,291.30327019364,255.6894360692,257.240576049861,,283.952481538618,N.J.,NJ
New Mexico,242.108837350908,272.997718461964,247.54758080845,251.152449697595,,269.525714996877,N.M.,NM
New York,,276.451788224891,251.242458130244,250.595595577526,,275.822815188002,N.Y.,NY
North Carolina,244.611957101913,274.142259786839,247.047360776505,255.639259638465,267.518029858918,271.373623570886,N.C.,NC
North Dakota,244.876327157986,,,,,271.774483653842,N.D.,ND
Ohio,,,246.948412975021,251.516228316187,260.856541453265,274.064596224505,Ohio,OH
Oklahoma,255.784770947565,,246.870216955393,250.671530034739,,265.375852167874,Okla.,OK
Oregon,255.689599009463,262.882968312812,247.719397986165,249.842971625437,273.185485836451,268.99946877516,Ore.,OR
Pennsylvania,,284.727877067674,243.727777361958,250.182249455706,,275.247988149661,Pa.,PA
Rhode Island,,261.426812516257,248.136842651164,247.603646751364,,272.45555279782,R.I.,RI
South Carolina,,,245.63653544824,256.715943884047,,269.4609517914,S.C.,SC
South Dakota,243.577857029295,,256.372422449991,256.493030281924,,272.92420027925,S.D.,SD
Tennessee,,,240.289652072416,254.834501134695,,264.90710483618,Tenn.,TN
Texas,,283.517113002022,252.100749287341,254.184508985238,269.042588403276,273.741318046307,Texas,TX
Utah,244.458730988354,257.206034543408,,247.319383999232,,271.754916532571,Utah,UT
Vermont,,,,,,274.131266286054,Vt.,VT
Virginia,,282.248557513567,251.004691579987,258.99850510388,277.625967973752,272.675414013436,Va.,VA
Washington,253.759785519061,278.909347365784,254.360626571436,249.539195359166,269.984656135941,272.2432281983,Wash.,WA
West Virginia,,,248.768605302147,,,256.495406808402,W.Va.,WV
Wisconsin,,270.864194192628,240.227730769799,248.35826922211,,272.375053017903,Wis.,WI
Wyoming,,,,258.312279045214,,271.680928940079,Wyo.,WY
