state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,209.037251689073,,235.478157187228,Ala.,AL
Alaska,191.260616723665,,223.01604871751,Alaska,AK
Arizona,201.751240470106,225.009469651331,227.041339143609,Ariz.,AZ
Arkansas,207.400959586107,,232.940331898324,Ark.,AR
California,198.015009198618,198.169549132424,230.241844991166,Calif.,CA
Colorado,205.45321513171,,238.852788666829,Colo.,CO
Connecticut,205.245963485039,,240.576556792717,Conn.,CT
Delaware,213.552118881868,,236.436333500313,Del.,DE
District of Columbia,190.628593318732,,229.697682417573,D.C.,DC
Florida,215.855335413302,,238.657680891398,Fla.,FL
Georgia,209.300598892791,,234.955006904169,Ga.,GA
Hawaii,200.891114072035,,225.412395160445,Hawaii,HI
Idaho,210.355288619601,,231.220573226221,Idaho,ID
Illinois,202.716771162597,,235.132644325505,Ill.,IL
Indiana,209.821310812717,,232.283659603306,Ind.,IN
Iowa,205.687264495808,,231.354667388712,Iowa,IA
Kansas,211.646417027282,,235.698720732803,Kan.,KS
Kentucky,215.562076505943,,236.271901586071,Ky.,KY
Louisiana,202.347427085593,,228.423571617151,La.,LA
Maine,210.393049715952,,231.877122687683,Maine,ME
Maryland,214.593872325315,,241.963130622165,Md.,MD
Massachusetts,218.483896671022,,245.881440641015,Mass.,MA
Michigan,204.513707587338,,230.722424168343,Mich.,MI
Minnesota,204.65120839917,,233.093680379474,Minn.,MN
Mississippi,201.828274096095,,228.629912186514,Miss.,MS
Missouri,206.752835197435,,234.353190464162,Mo.,MO
Montana,213.95937641591,,233.460842938832,Mont.,MT
Nation,206.891525553684,224.078724098964,234.383173538853,U.S.,US
Nebraska,208.749691478017,,234.159025485195,Neb.,NE
Nevada,201.949672076482,,226.845529490647,Nev.,NV
New Hampshire,215.912284292025,,235.520842283729,N.H.,NH
New Jersey,214.92939096178,,240.326727046472,N.J.,NJ
New Mexico,200.125129116539,,226.844118454918,N.M.,NM
New York,211.705030350741,235.69084815301,235.569131505208,N.Y.,NY
North Carolina,208.259570663227,,236.0454219923,N.C.,NC
North Dakota,216.101770618883,,230.680372543965,N.D.,ND
Ohio,211.509383247961,,234.960150853614,Ohio,OH
Oklahoma,207.804482139925,,227.862187747585,Okla.,OK
Oregon,204.246963111564,,230.440679572667,Ore.,OR
Pennsylvania,210.810783704425,,238.131475829256,Pa.,PA
Rhode Island,208.073867543512,,234.558222123493,R.I.,RI
South Carolina,202.437818257955,,231.242733640698,S.C.,SC
South Dakota,207.044958379414,,229.353551143795,S.D.,SD
Tennessee,204.041669968848,,229.513774554381,Tenn.,TN
Texas,208.913711800502,,234.499931038883,Texas,TX
Utah,206.367678877037,,229.019832067563,Utah,UT
Vermont,212.789122077487,,236.165605342285,Vt.,VT
Virginia,207.038664148814,,237.178638537791,Va.,VA
Washington,204.302157368855,,234.854892761315,Wash.,WA
West Virginia,204.471261929891,,225.31098714188,W.Va.,WV
Wisconsin,206.289216723098,,231.967184816404,Wis.,WI
Wyoming,214.392698260599,,230.732097625671,Wyo.,WY
