state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,251.557411312979,256.714227596651,,277.349254483024,Ala.,AL
Alaska,253.103371987141,274.274971946246,254.766202755175,273.49162392842,280.030805118709,290.611768344676,Alaska,AK
Arizona,262.835385494112,315.509915822868,272.277281925828,269.162318473719,,296.380354831856,Ariz.,AZ
Arkansas,,,248.437398521475,267.02349668088,,281.753801759527,Ark.,AR
California,,310.701355350028,254.551714766556,262.252816397288,300.079469955352,293.012828783089,Calif.,CA
Colorado,,301.127490046443,262.546576538176,268.103510099837,295.050375163574,297.892016552953,Colo.,CO
Connecticut,,310.546725735252,257.734413532866,263.004020038515,,295.013247701825,Conn.,CT
Delaware,,314.421786576342,262.519312044109,267.331943768633,,288.721760718971,Del.,DE
District of Columbia,,,256.985766847194,263.442165435209,,322.692220560971,D.C.,DC
DoDEA,,302.891425475581,276.92841492379,286.7116143635,295.787436718931,298.140350771094,,
Florida,,302.585666220092,262.100423074545,273.135079089176,284.225276124662,290.622168785166,Fla.,FL
Georgia,,319.559305095309,264.02595458919,274.673927903735,292.333141344762,293.275864974499,Ga.,GA
Hawaii,,276.279294874472,,269.081642385396,282.520251897342,286.353271219515,Hawaii,HI
Idaho,,,,264.725238647866,,289.358352542904,Idaho,ID
Illinois,,313.399734235324,256.713031787817,271.617982894539,286.883268363872,291.381611596489,Ill.,IL
Indiana,,,270.286506045611,275.699999280848,275.684129231827,291.545549271496,Ind.,IN
Iowa,,308.207834893999,255.222761112561,273.48460517077,276.533485696203,289.568400218315,Iowa,IA
Kansas,,303.664221339054,259.311777423134,269.066168354194,273.641827582603,293.182253487107,Kan.,KS
Kentucky,,303.683767039183,252.186623335806,269.330650052526,267.429485343401,281.881843705328,Ky.,KY
Louisiana,,,252.241578667937,262.559941043505,,278.956084269077,La.,LA
Maine,,,,,,284.40583852152,Maine,ME
Maryland,,314.762680720911,261.558880922406,267.153056744626,291.460731369416,295.449871612027,Md.,MD
Massachusetts,,322.89146471652,270.671713439141,274.308930479749,298.575601382202,303.258972093322,Mass.,MA
Michigan,,312.459130194778,250.150041593243,264.209606466657,270.325346027867,285.676253118444,Mich.,MI
Minnesota,,297.437358599977,259.027808155433,268.863339413002,290.525722910822,301.914766809508,Minn.,MN
Mississippi,,,257.271744464303,270.811375764921,,284.648316291861,Miss.,MS
Missouri,,,255.948001925168,272.493602887257,282.870510051866,286.225805912583,Mo.,MO
Montana,258.168032683257,,,272.284896390472,269.181775975447,290.456269296138,Mont.,MT
Nation,268.243960832386,309.522764190689,259.603784760393,268.49295087561,285.34066073755,292.164707295109,U.S.,US
Nebraska,,292.599552805526,259.724524795256,270.474895299942,287.127732854336,296.543160011302,Neb.,NE
Nevada,,295.74558332502,252.691017800864,266.345327532637,283.488835255278,289.041846762875,Nev.,NV
New Hampshire,,303.773696514339,,268.21981521372,,294.867685499609,N.H.,NH
New Jersey,,325.187783987467,268.446086350128,272.720656504916,,302.522591208124,N.J.,NJ
New Mexico,257.121103752278,,,264.019568525664,,286.997762462322,N.M.,NM
New York,,308.674892527303,260.499926721082,265.466068208626,,291.568168356817,N.Y.,NY
North Carolina,,309.46131704157,258.402979846523,271.864326973147,284.653066541238,295.085908933392,N.C.,NC
North Dakota,261.887722047153,,251.942018319055,270.073483778242,,294.036289131423,N.D.,ND
Ohio,,,254.172790950943,278.621558141516,274.2940665896,295.384579429685,Ohio,OH
Oklahoma,269.450557531965,288.390781701624,256.910222174385,262.951072166892,276.289835998732,281.838653977748,Okla.,OK
Oregon,,299.11131781284,,265.702960671737,287.046566007372,288.333886914992,Ore.,OR
Pennsylvania,,311.164678147458,260.540552790445,261.902618723082,279.761492619195,293.733860314869,Pa.,PA
Rhode Island,,,260.773843340203,256.864180907333,272.594896545738,286.687144117447,R.I.,RI
South Carolina,,,253.099800719352,271.75686481186,278.003198800542,288.073345540634,S.C.,SC
South Dakota,253.763957293977,,257.72942736258,268.504143538359,282.277677999297,293.374421894813,S.D.,SD
Tennessee,,,258.061204213221,269.015491640701,,285.615531281073,Tenn.,TN
Texas,,321.524179720561,265.814634721748,273.534678487341,284.087371533981,297.482647531007,Texas,TX
Utah,,275.573247835808,,262.820341129179,,293.865275797279,Utah,UT
Vermont,,,,,,288.016063339956,Vt.,VT
Virginia,,316.174818704407,270.827070131889,279.985678413031,294.357513570947,296.717276408647,Va.,VA
Washington,,307.678850721151,258.549862463951,270.530558416127,290.011967707738,295.259391842445,Wash.,WA
West Virginia,,,253.543101440635,,,274.474473234183,W.Va.,WV
Wisconsin,,286.297175524829,253.031619613262,267.124417238364,279.434768669779,295.768007931895,Wis.,WI
Wyoming,267.711105853213,,,275.248667713232,,292.060653736948,Wyo.,WY
