state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,224.776022071095,,247.248782913367,Ala.,AL
Alaska,218.728109263369,,242.082479899609,Alaska,AK
Arizona,224.214263694466,250.449672990437,250.67234436357,Ariz.,AZ
Arkansas,226.625414827547,,247.625031054839,Ark.,AR
California,221.47975119119,232.909612020309,250.458031438545,Calif.,CA
Colorado,226.333067151347,244.727266805278,252.125764470768,Colo.,CO
Connecticut,224.420694998054,,249.455274760983,Conn.,CT
Delaware,224.788192868835,,245.485281284786,Del.,DE
District of Columbia,222.917072072201,,260.822327458665,D.C.,DC
Florida,239.041845047284,,257.33499055565,Fla.,FL
Georgia,225.771643863401,,255.310178355712,Ga.,GA
Hawaii,228.351997375051,,246.708866324788,Hawaii,HI
Idaho,231.18948908038,242.538825818357,249.473797664038,Idaho,ID
Illinois,223.720750898297,,253.098006855696,Ill.,IL
Indiana,235.451543807312,,257.832438207274,Ind.,IN
Iowa,229.730477604814,,253.879085890014,Iowa,IA
Kansas,230.735667769021,,251.588905712906,Kan.,KS
Kentucky,230.399336705106,,251.616137928847,Ky.,KY
Louisiana,222.982519412326,222.469074886402,245.474741681152,La.,LA
Maine,228.199888538965,,249.843304116979,Maine,ME
Maryland,224.905952994474,218.749641967326,255.090970568963,Md.,MD
Massachusetts,232.49575639401,,256.904997095437,Mass.,MA
Michigan,221.808765440435,,248.744022865752,Mich.,MI
Minnesota,230.59838339186,,260.030030352695,Minn.,MN
Mississippi,229.293010653942,,254.383833420698,Miss.,MS
Missouri,228.104814811112,,252.39620251922,Mo.,MO
Montana,232.291289459037,,249.563405005916,Mont.,MT
Nation,228.042095866198,238.375846448094,252.650879913852,U.S.,US
Nebraska,234.12601757072,,256.06626614552,Neb.,NE
Nevada,224.589648402913,,247.179518489323,Nev.,NV
New Hampshire,230.72372717578,,251.715159698961,N.H.,NH
New Jersey,231.156532658641,,257.778493373997,N.J.,NJ
New Mexico,224.10969370901,,248.118425967427,N.M.,NM
New York,226.04147962905,,246.186075555902,N.Y.,NY
North Carolina,231.572439843624,239.467872375756,251.662148986148,N.C.,NC
North Dakota,232.603674734348,,250.388225106294,N.D.,ND
Ohio,228.232547891215,,254.317162272073,Ohio,OH
Oklahoma,231.486444949067,,249.077790132616,Okla.,OK
Oregon,223.652578036448,,249.545837087595,Ore.,OR
Pennsylvania,227.792152745845,,256.092083872343,Pa.,PA
Rhode Island,225.346367473513,,250.057986052782,R.I.,RI
South Carolina,226.27043905009,224.093509042625,248.266290220036,S.C.,SC
South Dakota,229.573385577906,,250.328523367452,S.D.,SD
Tennessee,227.105411550992,,246.749931296296,Tenn.,TN
Texas,232.380799467662,,254.513633016507,Texas,TX
Utah,230.308763454274,,250.195418626512,Utah,UT
Vermont,228.530301742214,,249.379791223191,Vt.,VT
Virginia,233.510378206581,,257.434929261987,Va.,VA
Washington,228.388158372065,,252.287600386397,Wash.,WA
West Virginia,233.83759207128,,249.391806922763,W.Va.,WV
Wisconsin,225.372608653988,248.310866995405,250.810014179616,Wis.,WI
Wyoming,238.984074285319,,254.059305135108,Wyo.,WY
