state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,207.068512345606,,235.994040491975,Ala.,AL
Alaska,189.816006703574,,223.638007204835,Alaska,AK
Arizona,202.696744338396,232.299177721769,237.134271424928,Ariz.,AZ
Arkansas,208.555427867881,,231.937639795401,Ark.,AR
California,202.830139945866,221.296075395182,235.481578253087,Calif.,CA
Colorado,208.374269057911,229.361485075889,237.516222305635,Colo.,CO
Connecticut,211.196322956943,,239.72144250135,Conn.,CT
Delaware,210.419549963586,,229.450145851083,Del.,DE
District of Columbia,203.757469780647,,248.891200330422,D.C.,DC
Florida,219.277085329659,,242.659709681386,Fla.,FL
Georgia,208.588128189194,,240.675480681088,Ga.,GA
Hawaii,202.755168592613,,229.01346981112,Hawaii,HI
Idaho,210.831870774825,226.731301965008,234.02361464213,Idaho,ID
Illinois,206.216576085011,,235.439863408248,Ill.,IL
Indiana,215.028333535656,,238.183260389089,Ind.,IN
Iowa,205.758276998397,,233.389085774194,Iowa,IA
Kansas,212.041510033929,,234.103679974564,Kan.,KS
Kentucky,214.737954825088,,236.909259436596,Ky.,KY
Louisiana,203.516334503796,195.405543568208,233.648882502326,La.,LA
Maine,207.212334265859,,233.664716215887,Maine,ME
Maryland,209.856066489049,200.762728532196,238.067465688048,Md.,MD
Massachusetts,219.3009330868,,243.236165624723,Mass.,MA
Michigan,203.401480867798,,230.981419764728,Mich.,MI
Minnesota,207.09509526984,,236.03045801455,Minn.,MN
Mississippi,208.469497266553,,240.263318953488,Miss.,MS
Missouri,210.557720088633,,236.662438266864,Mo.,MO
Montana,210.337504849416,,234.378256888582,Mont.,MT
Nation,208.06430300425,223.470081385197,236.0977487823,U.S.,US
Nebraska,209.439196559974,,236.611928482442,Neb.,NE
Nevada,205.540835589376,,235.359557748673,Nev.,NV
New Hampshire,211.782263855435,,236.342076456054,N.H.,NH
New Jersey,214.349982869843,,243.352802590223,N.J.,NJ
New Mexico,200.317225358959,,232.37324550889,N.M.,NM
New York,210.619003155983,,234.001562086055,N.Y.,NY
North Carolina,211.427720561714,239.100452691768,236.11216983588,N.C.,NC
North Dakota,207.880461482461,,228.429654818679,N.D.,ND
Ohio,212.699908628553,,239.24452022551,Ohio,OH
Oklahoma,209.092095816609,,232.165154966339,Okla.,OK
Oregon,207.084608121354,,236.436063523555,Ore.,OR
Pennsylvania,209.90818175984,,239.062231006806,Pa.,PA
Rhode Island,209.365061485205,,238.361156036542,R.I.,RI
South Carolina,202.021200012597,207.846528518785,232.88525343399,S.C.,SC
South Dakota,208.267536635563,,231.708908584419,S.D.,SD
Tennessee,206.232502233339,,231.350639144456,Tenn.,TN
Texas,204.836016535422,,230.829534796882,Texas,TX
Utah,209.456227067232,,235.162982809072,Utah,UT
Vermont,211.052645535252,,236.794445960452,Vt.,VT
Virginia,212.552616620351,,238.447580777526,Va.,VA
Washington,205.433265479414,,236.987510135813,Wash.,WA
West Virginia,214.81085388385,,233.087520111518,W.Va.,WV
Wisconsin,202.89277172419,229.342017455505,231.412760542208,Wis.,WI
Wyoming,215.00944081584,,235.340337309008,Wyo.,WY
